"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia BELLAVISTA (000)",45341,8958,3016,1456,31975
"Quechua (001)",290,30,7,2,251
"Aymara (002)",6,4,1,3,1
"Asháninka (003)",4,3,1,3,
"Otra lengua nativa (004)",8,3,,1,5
"Castellano (005)",44954,8901,3005,1445,31660
"Es Sordomudo/a (007)",79,17,2,2,58
"Hombres (009)",24327,4403,1520,883,17561
"Quechua (010)",120,11,5,,104
"Aymara (011)",2,1,1,2,
"Asháninka (012)",2,2,,2,
"Otra lengua nativa (013)",7,3,,1,4
"Castellano (014)",24149,4378,1513,877,17416
"Es Sordomudo/a (016)",47,8,1,1,37
"Mujeres (018)",21014,4555,1496,573,14414
"Quechua (019)",170,19,2,2,147
"Aymara (020)",4,3,,1,1
"Asháninka (021)",2,1,1,1,
"Otra lengua nativa (022)",1,,,,1
"Castellano (023)",20805,4523,1492,568,14244
"Es Sordomudo/a (025)",32,9,1,1,21
,,,,,
"URBANA (027)",25282,4889,2601,1174,16667
"Quechua (028)",105,12,6,1,86
"Aymara (029)",3,2,1,2,
"Asháninka (030)",2,1,1,1,
"Otra lengua nativa (031)",5,2,,,3
"Castellano (032)",25128,4863,2591,1168,16552
"Es Sordomudo/a (034)",39,9,2,2,26
"Hombres (036)",13350,2412,1301,730,8938
"Quechua (037)",38,4,4,,30
"Aymara (038)",1,,1,1,
"Asháninka (039)",1,1,,1,
"Otra lengua nativa (040)",4,2,,,2
"Castellano (041)",13282,2401,1295,727,8888
"Es Sordomudo/a (043)",24,4,1,1,18
"Mujeres (045)",11932,2477,1300,444,7729
"Quechua (046)",67,8,2,1,56
"Aymara (047)",2,2,,1,
"Asháninka (048)",1,,1,,
"Otra lengua nativa (049)",1,,,,1
"Castellano (050)",11846,2462,1296,441,7664
"Es Sordomudo/a (052)",15,5,1,1,8
,,,,,
"RURAL (054)",20059,4069,415,282,15308
"Quechua (055)",185,18,1,1,165
"Aymara (056)",3,2,,1,1
"Asháninka (057)",2,2,,2,
"Otra lengua nativa (058)",3,1,,1,2
"Castellano (059)",19826,4038,414,277,15108
"Es Sordomudo/a (061)",40,8,,,32
"Hombres (063)",10977,1991,219,153,8623
"Quechua (064)",82,7,1,,74
"Aymara (065)",1,1,,1,
"Asháninka (066)",1,1,,1,
"Otra lengua nativa (067)",3,1,,1,2
"Castellano (068)",10867,1977,218,150,8528
"Es Sordomudo/a (070)",23,4,,,19
"Mujeres (072)",9082,2078,196,129,6685
"Quechua (073)",103,11,,1,91
"Aymara (074)",2,1,,,1
"Asháninka (075)",1,1,,1,
"Castellano (077)",8959,2061,196,127,6580
"Es Sordomudo/a (079)",17,4,,,13
