"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia MOHO (000)",479,201,278
"Sin nivel (001)",33,3,30
"Primaria (003)",115,41,74
"Secundaria (004)",271,127,144
"Superior no univ. incompleta (005)",19,10,9
"Superior no univ. completa (006)",21,11,10
"Superior univ. incompleta (007)",5,2,3
"Superior univ. completa (008)",15,7,8
"Hombres (010)",378,160,218
"Sin nivel (011)",20,3,17
"Primaria (013)",90,31,59
"Secundaria (014)",223,101,122
"Superior no univ. incompleta (015)",12,8,4
"Superior no univ. completa (016)",17,9,8
"Superior univ. incompleta (017)",4,2,2
"Superior univ. completa (018)",12,6,6
"Mujeres (020)",101,41,60
"Sin nivel (021)",13,,13
"Primaria (023)",25,10,15
"Secundaria (024)",48,26,22
"Superior no univ. incompleta (025)",7,2,5
"Superior no univ. completa (026)",4,2,2
"Superior univ. incompleta (027)",1,,1
"Superior univ. completa (028)",3,1,2
,,,
"AREA URBANA (030)",207,75,132
"Sin nivel (031)",17,1,16
"Primaria (033)",42,10,32
"Secundaria (034)",116,49,67
"Superior no univ. incompleta (035)",10,4,6
"Superior no univ. completa (036)",13,8,5
"Superior univ. incompleta (037)",3,,3
"Superior univ. completa (038)",6,3,3
"Hombres (040)",162,60,102
"Sin nivel (041)",11,1,10
"Primaria (043)",32,8,24
"Secundaria (044)",93,38,55
"Superior no univ. incompleta (045)",6,3,3
"Superior no univ. completa (046)",12,7,5
"Superior univ. incompleta (047)",2,,2
"Superior univ. completa (048)",6,3,3
"Mujeres (050)",45,15,30
"Sin nivel (051)",6,,6
"Primaria (053)",10,2,8
"Secundaria (054)",23,11,12
"Superior no univ. incompleta (055)",4,1,3
"Superior no univ. completa (056)",1,1,
"Superior univ. incompleta (057)",1,,1
,,,
"AREA RURAL (060)",272,126,146
"Sin nivel (061)",16,2,14
"Primaria (063)",73,31,42
"Secundaria (064)",155,78,77
"Superior no univ. incompleta (065)",9,6,3
"Superior no univ. completa (066)",8,3,5
"Superior univ. incompleta (067)",2,2,
"Superior univ. completa (068)",9,4,5
"Hombres (070)",216,100,116
"Sin nivel (071)",9,2,7
"Primaria (073)",58,23,35
"Secundaria (074)",130,63,67
"Superior no univ. incompleta (075)",6,5,1
"Superior no univ. completa (076)",5,2,3
"Superior univ. incompleta (077)",2,2,
"Superior univ. completa (078)",6,3,3
"Mujeres (080)",56,26,30
"Sin nivel (081)",7,,7
"Primaria (083)",15,8,7
"Secundaria (084)",25,15,10
"Superior no univ. incompleta (085)",3,1,2
"Superior no univ. completa (086)",3,1,2
"Superior univ. completa (088)",3,1,2
