"CUADRO Nº 10: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DEL SERVICIO DE AGUA POTABLE TODOS LOS DÍAS DE LA SEMANA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"DISPONE DE AGUA POTABLE TODOS LOS DÍAS DE LA SEMANA",
,,SI,NO
,,,
"Provincia SATIPO",,,
"Viviendas particulares (001)",11588,9995,1593
"Ocupantes presentes (002)",52756,45657,7099
"Casa independiente",,,
"Viviendas particulares (004)",9659,8351,1308
"Ocupantes presentes (005)",45242,39210,6032
"Departamento en edificio",,,
"Viviendas particulares (007)",131,115,16
"Ocupantes presentes (008)",531,470,61
"Vivienda en quinta",,,
"Viviendas particulares (010)",940,835,105
"Ocupantes presentes (011)",3170,2789,381
"Vivienda en casa de vecindad",,,
"Viviendas particulares (013)",508,390,118
"Ocupantes presentes (014)",2158,1712,446
"Choza o cabaña",,,
"Viviendas particulares (016)",249,220,29
"Ocupantes presentes (017)",1251,1142,109
"Vivienda improvisada",,,
"Viviendas particulares (019)",80,64,16
"Ocupantes presentes (020)",360,291,69
"Local no dest.para hab. humana",,,
"Viviendas particulares (022)",20,19,1
"Ocupantes presentes (023)",38,37,1
"Otro tipo",,,
"Viviendas particulares (025)",1,1,
"Ocupantes presentes (026)",6,6,
,,,
URBANA,,,
"Viviendas particulares (028)",9257,7855,1402
"Ocupantes presentes (029)",41800,35514,6286
"Casa independiente",,,
"Viviendas particulares (031)",7579,6433,1146
"Ocupantes presentes (032)",35544,30216,5328
"Departamento en edificio",,,
"Viviendas particulares (034)",131,115,16
"Ocupantes presentes (035)",531,470,61
"Vivienda en quinta",,,
"Viviendas particulares (037)",940,835,105
"Ocupantes presentes (038)",3170,2789,381
"Vivienda en casa de vecindad",,,
"Viviendas particulares (040)",508,390,118
"Ocupantes presentes (041)",2158,1712,446
"Choza o cabaña",,,
"Vivienda improvisada",,,
"Viviendas particulares (046)",80,64,16
"Ocupantes presentes (047)",360,291,69
"Local no dest.para hab. humana",,,
"Viviendas particulares (049)",19,18,1
"Ocupantes presentes (050)",37,36,1
"Otro tipo",,,
,,,
RURAL,,,
"Viviendas particulares (055)",2331,2140,191
"Ocupantes presentes (056)",10956,10143,813
"Casa independiente",,,
"Viviendas particulares (058)",2080,1918,162
"Ocupantes presentes (059)",9698,8994,704
"Departamento en edificio",,,
"Vivienda en quinta",,,
"Vivienda en casa de vecindad",,,
"Choza o cabaña",,,
"Viviendas particulares (070)",249,220,29
"Ocupantes presentes (071)",1251,1142,109
"Vivienda improvisada",,,
"Local no dest.para hab. humana",,,
"Viviendas particulares (076)",1,1,
"Ocupantes presentes (077)",1,1,
"Otro tipo",,,
"Viviendas particulares (079)",1,1,
"Ocupantes presentes (080)",6,6,
