"CUADRO Nº 14: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE NO DISPONEN DEL SERVICIO DE AGUA TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE HORAS AL DÍA QUE DISPONEN DEL SERVICIO EN LOS DÍAS QUE CUENTAN CON ESTE SERVICIO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HORAS AL DÍA QUE DISPONE DE AGUA",,,,,,,
,,1-3,4-6,7-9,10-12,13-15,16-18,19-21,22-24
,,,,,,,,,
"Provincia HUAMALIES",,,,,,,,,
"Viviendas particulares (001)",541,303,145,31,30,5,2,4,21
"Ocupantes presentes (002)",2428,1381,611,130,143,23,15,24,101
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",516,290,144,30,30,4,2,4,12
"Ocupantes presentes (005)",2329,1325,608,126,143,19,15,24,69
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",2,1,,,,,,,1
"Ocupantes presentes (011)",3,1,,,,,,,2
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",8,7,1,,,,,,
"Ocupantes presentes (014)",42,39,3,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",15,5,,1,,1,,,8
"Ocupantes presentes (017)",54,16,,4,,4,,,30
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",170,107,24,13,12,1,2,2,9
"Ocupantes presentes (029)",780,494,73,63,73,3,15,11,48
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",160,99,23,13,12,1,2,2,8
"Ocupantes presentes (032)",735,454,70,63,73,3,15,11,46
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",2,1,,,,,,,1
"Ocupantes presentes (038)",3,1,,,,,,,2
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",8,7,1,,,,,,
"Ocupantes presentes (041)",42,39,3,,,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",371,196,121,18,18,4,,2,12
"Ocupantes presentes (056)",1648,887,538,67,70,20,,13,53
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",356,191,121,17,18,3,,2,4
"Ocupantes presentes (059)",1594,871,538,63,70,16,,13,23
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",15,5,,1,,1,,,8
"Ocupantes presentes (071)",54,16,,4,,4,,,30
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
