"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia MELGAR (000)",19325,128,6447,7255,2244,681,270,100,13,,2187
"Sin Nivel (001)",4648,38,1407,1803,584,226,101,62,6,,421
"Educación Inicial (002)",17,,4,8,1,,,,,,4
"Primaria (003)",8325,70,3263,3120,849,229,94,27,4,,669
"Secundaria (004)",4245,16,1522,1579,369,100,33,6,1,,619
"Sup. no Univ. Incompleta (005)",481,,79,185,85,18,4,1,,,109
"Sup. no Univ. Completa (006)",834,2,97,320,183,47,14,1,,,170
"Sup. Univ. Incompleta (007)",252,1,36,89,32,10,5,,,,79
"Sup. Univ. Completa (008)",523,1,39,151,141,51,19,3,2,,116
,,,,,,,,,,,
"URBANA (010)",9193,52,2948,3356,1141,388,155,56,10,,1087
"Sin Nivel (011)",1742,14,555,596,209,100,52,30,5,,181
"Educación Inicial (012)",5,,1,2,1,,,,,,1
"Primaria (013)",3135,25,1259,1149,303,104,41,19,2,,233
"Secundaria (014)",2501,9,908,942,232,67,25,3,1,,314
"Sup. no Univ. Incompleta (015)",385,,68,152,72,16,3,,,,74
"Sup. no Univ. Completa (016)",752,2,89,299,167,43,14,1,,,137
"Sup. Univ. Incompleta (017)",211,1,33,77,25,10,5,,,,60
"Sup. Univ. Completa (018)",462,1,35,139,132,48,15,3,2,,87
,,,,,,,,,,,
"RURAL (020)",10132,76,3499,3899,1103,293,115,44,3,,1100
"Sin Nivel (021)",2906,24,852,1207,375,126,49,32,1,,240
"Educación Inicial (022)",12,,3,6,,,,,,,3
"Primaria (023)",5190,45,2004,1971,546,125,53,8,2,,436
"Secundaria (024)",1744,7,614,637,137,33,8,3,,,305
"Sup. no Univ. Incompleta (025)",96,,11,33,13,2,1,1,,,35
"Sup. no Univ. Completa (026)",82,,8,21,16,4,,,,,33
"Sup. Univ. Incompleta (027)",41,,3,12,7,,,,,,19
"Sup. Univ. Completa (028)",61,,4,12,9,3,4,,,,29
