"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia CONDORCANQUI (000)",43311,1551,20558,11179,6225,3256,542
"Hombres (001)",21806,802,10278,5394,3276,1784,272
"Mujeres (002)",21505,749,10280,5785,2949,1472,270
"Viviendas particulares (003)",42662,1550,20497,10668,6178,3237,532
"Hombres (004)",21219,802,10226,4912,3238,1771,270
"Mujeres (005)",21443,748,10271,5756,2940,1466,262
"Viviendas colectivas (006)",536,1,41,422,46,18,8
"Hombres (007)",482,,33,397,37,13,2
"Mujeres (008)",54,1,8,25,9,5,6
"Otro tipo (009)",113,,20,89,1,1,2
"Hombres (010)",105,,19,85,1,,
"Mujeres (011)",8,,1,4,,1,2
,,,,,,,
"URBANA (012)",6458,167,2739,1933,991,555,73
"Hombres (013)",3282,86,1326,1008,514,314,34
"Mujeres (014)",3176,81,1413,925,477,241,39
"Viviendas particulares (015)",6124,167,2711,1682,956,545,63
"Hombres (016)",3001,86,1305,780,488,310,32
"Mujeres (017)",3123,81,1406,902,468,235,31
"Viviendas colectivas (018)",221,,8,162,34,9,8
"Hombres (019)",176,,2,143,25,4,2
"Mujeres (020)",45,,6,19,9,5,6
"Otro tipo (021)",113,,20,89,1,1,2
"Hombres (022)",105,,19,85,1,,
"Mujeres (023)",8,,1,4,,1,2
,,,,,,,
"RURAL (024)",36853,1384,17819,9246,5234,2701,469
"Hombres (025)",18524,716,8952,4386,2762,1470,238
"Mujeres (026)",18329,668,8867,4860,2472,1231,231
"Viviendas particulares (027)",36538,1383,17786,8986,5222,2692,469
"Hombres (028)",18218,716,8921,4132,2750,1461,238
"Mujeres (029)",18320,667,8865,4854,2472,1231,231
"Viviendas colectivas (030)",315,1,33,260,12,9,
"Hombres (031)",306,,31,254,12,9,
"Mujeres (032)",9,1,2,6,,,
