"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia PASCO (000)",37383,277,12068,12778,4371,1389,621,183,28,,5668
"Catolica (001)",29059,197,9219,9941,3474,1052,490,141,23,,4522
"Cristiana / Evangelica (002)",7583,74,2657,2600,799,304,117,40,5,,987
"Otra (003)",455,5,104,148,65,21,11,,,,101
"Ninguna (004)",286,1,88,89,33,12,3,2,,,58
,,,,,,,,,,,
"URBANA (006)",29150,209,9078,10000,3591,1121,524,140,20,,4467
"Catolica (007)",22737,149,6938,7818,2866,852,417,109,16,,3572
"Cristiana / Evangelica (008)",5730,55,1967,1967,629,237,93,30,4,,748
"Otra (009)",435,4,98,140,64,21,11,,,,97
"Ninguna (010)",248,1,75,75,32,11,3,1,,,50
,,,,,,,,,,,
"RURAL (012)",8233,68,2990,2778,780,268,97,43,8,,1201
"Catolica (013)",6322,48,2281,2123,608,200,73,32,7,,950
"Cristiana / Evangelica (014)",1853,19,690,633,170,67,24,10,1,,239
"Otra (015)",20,1,6,8,1,,,,,,4
"Ninguna (016)",38,,13,14,1,1,,1,,,8
