"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia PUERTO INCA (000)",7097,30810,1338,5982,5759,24828
"Casa independiente (001)",4511,19746,1309,5886,3202,13860
"Vivienda en quinta (003)",6,11,6,11,,
"Vivienda en casa de vecindad (004)",13,41,13,41,,
"Choza o cabaña (005)",2546,10944,,,2546,10944
"Vivienda improvisada (006)",8,31,8,31,,
"Local no dest.para hab. humana (007)",7,19,2,13,5,6
"Otro tipo (008)",6,18,,,6,18
