"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia YUNGAY (000)",850,236,614
"Sin nivel (001)",106,19,87
"Educación inicial (002)",1,1,
"Primaria (003)",379,92,287
"Secundaria (004)",239,95,144
"Superior no univ. incompleta (005)",20,4,16
"Superior no univ. completa (006)",67,15,52
"Superior univ. incompleta (007)",11,2,9
"Superior univ. completa (008)",27,8,19
"Hombres (010)",646,152,494
"Sin nivel (011)",87,13,74
"Primaria (013)",316,61,255
"Secundaria (014)",177,63,114
"Superior no univ. incompleta (015)",14,3,11
"Superior no univ. completa (016)",31,8,23
"Superior univ. incompleta (017)",6,,6
"Superior univ. completa (018)",15,4,11
"Mujeres (020)",204,84,120
"Sin nivel (021)",19,6,13
"Educación inicial (022)",1,1,
"Primaria (023)",63,31,32
"Secundaria (024)",62,32,30
"Superior no univ. incompleta (025)",6,1,5
"Superior no univ. completa (026)",36,7,29
"Superior univ. incompleta (027)",5,2,3
"Superior univ. completa (028)",12,4,8
,,,
"AREA URBANA (030)",262,61,201
"Sin nivel (031)",20,3,17
"Primaria (033)",78,12,66
"Secundaria (034)",78,26,52
"Superior no univ. incompleta (035)",13,4,9
"Superior no univ. completa (036)",43,8,35
"Superior univ. incompleta (037)",9,2,7
"Superior univ. completa (038)",21,6,15
"Hombres (040)",182,38,144
"Sin nivel (041)",13,2,11
"Primaria (043)",66,8,58
"Secundaria (044)",58,18,40
"Superior no univ. incompleta (045)",9,3,6
"Superior no univ. completa (046)",21,4,17
"Superior univ. incompleta (047)",4,,4
"Superior univ. completa (048)",11,3,8
"Mujeres (050)",80,23,57
"Sin nivel (051)",7,1,6
"Primaria (053)",12,4,8
"Secundaria (054)",20,8,12
"Superior no univ. incompleta (055)",4,1,3
"Superior no univ. completa (056)",22,4,18
"Superior univ. incompleta (057)",5,2,3
"Superior univ. completa (058)",10,3,7
,,,
"AREA RURAL (060)",588,175,413
"Sin nivel (061)",86,16,70
"Educación inicial (062)",1,1,
"Primaria (063)",301,80,221
"Secundaria (064)",161,69,92
"Superior no univ. incompleta (065)",7,,7
"Superior no univ. completa (066)",24,7,17
"Superior univ. incompleta (067)",2,,2
"Superior univ. completa (068)",6,2,4
"Hombres (070)",464,114,350
"Sin nivel (071)",74,11,63
"Primaria (073)",250,53,197
"Secundaria (074)",119,45,74
"Superior no univ. incompleta (075)",5,,5
"Superior no univ. completa (076)",10,4,6
"Superior univ. incompleta (077)",2,,2
"Superior univ. completa (078)",4,1,3
"Mujeres (080)",124,61,63
"Sin nivel (081)",12,5,7
"Educación inicial (082)",1,1,
"Primaria (083)",51,27,24
"Secundaria (084)",42,24,18
"Superior no univ. incompleta (085)",2,,2
"Superior no univ. completa (086)",14,3,11
"Superior univ. completa (088)",2,1,1
