"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia RODRIGUEZ DE MENDOZA (000)",11565,1637,3407,3182,3339
"Asiste actualmente (001)",6801,657,3241,2292,611
"No asiste (002)",4764,980,166,890,2728
"Hombres (004)",6071,843,1727,1670,1831
"Asiste actualmente (005)",3488,349,1633,1185,321
"No asiste (006)",2583,494,94,485,1510
"Mujeres (008)",5494,794,1680,1512,1508
"Asiste actualmente (009)",3313,308,1608,1107,290
"No asiste (010)",2181,486,72,405,1218
,,,,,
"URBANA (012)",3531,458,990,1140,943
"Asiste actualmente (013)",2557,268,969,1013,307
"No asiste (014)",974,190,21,127,636
"Hombres (016)",1794,253,491,579,471
"Asiste actualmente (017)",1285,145,482,512,146
"No asiste (018)",509,108,9,67,325
"Mujeres (020)",1737,205,499,561,472
"Asiste actualmente (021)",1272,123,487,501,161
"No asiste (022)",465,82,12,60,311
,,,,,
"RURAL (024)",8034,1179,2417,2042,2396
"Asiste actualmente (025)",4244,389,2272,1279,304
"No asiste (026)",3790,790,145,763,2092
"Hombres (028)",4277,590,1236,1091,1360
"Asiste actualmente (029)",2203,204,1151,673,175
"No asiste (030)",2074,386,85,418,1185
"Mujeres (032)",3757,589,1181,951,1036
"Asiste actualmente (033)",2041,185,1121,606,129
"No asiste (034)",1716,404,60,345,907
