"CUADRO Nº 2: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR VARIEDAD DE ARTEFACTOS Y EQUIPOS QUE POSEE, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,
,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"ARTEFACTOS Y EQUIPOS QUE POSEE EL HOGAR",,,,,,
,,RADIO,"TELEVISOR A COLOR","EQUIPO DE SONIDO","LAVADORA DE ROPA","REFRIGERADORA O CONGELADORA",COMPUTADORA,NINGUNO
,,,,,,,,
"Provincia PUNO",,,,,,,,
"Hogares (001)",67603,51703,26279,12375,2402,6134,9823,13869
"Ocupantes presentes (002)",225215,180458,98129,47395,9232,24191,38179,37954
"Casa independiente",,,,,,,,
"Hogares (004)",60852,46504,24145,11250,2059,5502,8877,12571
"Ocupantes presentes (005)",205065,164608,91359,43740,8057,22014,35059,34355
"Departamento en edificio",,,,,,,,
"Hogares (007)",1104,972,952,632,262,460,579,40
"Ocupantes presentes (008)",3349,2991,2993,2019,896,1556,1900,106
"Vivienda en quinta",,,,,,,,
"Hogares (010)",327,269,218,83,27,54,80,29
"Ocupantes presentes (011)",1028,849,727,290,102,200,280,87
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (013)",1354,1150,896,389,53,116,282,92
"Ocupantes presentes (014)",3952,3410,2827,1288,176,417,926,245
"Choza o cabaña",,,,,,,,
"Hogares (016)",3906,2774,52,18,1,1,,1115
"Ocupantes presentes (017)",11663,8501,167,50,1,2,,3111
"Vivienda improvisada",,,,,,,,
"Hogares (019)",17,13,6,1,,,2,4
"Ocupantes presentes (020)",55,40,25,4,,,8,15
"Local no dest.para hab. humana",,,,,,,,
"Hogares (022)",33,17,9,2,,1,3,12
"Ocupantes presentes (023)",77,40,26,4,,2,6,28
"Otro tipo",,,,,,,,
"Hogares (025)",10,4,1,,,,,6
"Ocupantes presentes (026)",26,19,5,,,,,7
,,,,,,,,
URBANA,,,,,,,,
"Hogares (028)",38031,32929,24100,11796,2363,6108,9762,3316
"Ocupantes presentes (029)",133064,117814,89665,45098,9101,24097,37943,9411
"Casa independiente",,,,,,,,
"Hogares (031)",35193,30508,22018,10689,2021,5477,8816,3136
"Ocupantes presentes (032)",124595,110477,83062,41493,7927,21922,34823,8929
"Departamento en edificio",,,,,,,,
"Hogares (034)",1104,972,952,632,262,460,579,40
"Ocupantes presentes (035)",3349,2991,2993,2019,896,1556,1900,106
"Vivienda en quinta",,,,,,,,
"Hogares (037)",327,269,218,83,27,54,80,29
"Ocupantes presentes (038)",1028,849,727,290,102,200,280,87
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (040)",1354,1150,896,389,53,116,282,92
"Ocupantes presentes (041)",3952,3410,2827,1288,176,417,926,245
"Choza o cabaña",,,,,,,,
"Vivienda improvisada",,,,,,,,
"Hogares (046)",17,13,6,1,,,2,4
"Ocupantes presentes (047)",55,40,25,4,,,8,15
"Local no dest.para hab. humana",,,,,,,,
"Hogares (049)",29,15,9,2,,1,3,10
"Ocupantes presentes (050)",68,36,26,4,,2,6,23
"Otro tipo",,,,,,,,
"Hogares (052)",7,2,1,,,,,5
"Ocupantes presentes (053)",17,11,5,,,,,6
,,,,,,,,
RURAL,,,,,,,,
"Hogares (055)",29572,18774,2179,579,39,26,61,10553
"Ocupantes presentes (056)",92151,62644,8464,2297,131,94,236,28543
"Casa independiente",,,,,,,,
"Hogares (058)",25659,15996,2127,561,38,25,61,9435
"Ocupantes presentes (059)",80470,54131,8297,2247,130,92,236,25426
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Choza o cabaña",,,,,,,,
"Hogares (070)",3906,2774,52,18,1,1,,1115
"Ocupantes presentes (071)",11663,8501,167,50,1,2,,3111
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Hogares (076)",4,2,,,,,,2
"Ocupantes presentes (077)",9,4,,,,,,5
"Otro tipo",,,,,,,,
"Hogares (079)",3,2,,,,,,1
"Ocupantes presentes (080)",9,8,,,,,,1
