"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia TAHUAMANU (000)",9552,1721,3131,2752,1548,400
"Sin nivel (001)",424,37,29,114,135,109
"Educación inicial (002)",118,114,3,1,,
"Primaria (003)",2703,1231,330,486,466,190
"Secundaria (004)",4022,339,1872,1190,560,61
"Superior no univ. incompleta (005)",694,,346,235,99,14
"Superior no univ. completa (006)",833,,310,379,129,15
"Superior univ. incompleta (007)",270,,104,101,60,5
"Superior univ. completa (008)",488,,137,246,99,6
"PEA (010)",5684,61,1991,2215,1216,201
"Sin nivel (011)",197,2,14,65,77,39
"Educación inicial (012)",3,1,2,,,
"Primaria (013)",961,35,187,314,325,100
"Secundaria (014)",2622,23,1119,976,467,37
"Superior no univ. incompleta (015)",529,,230,200,92,7
"Superior no univ. completa (016)",703,,245,338,111,9
"Superior univ. incompleta (017)",227,,80,92,52,3
"Superior univ. completa (018)",442,,114,230,92,6
"Ocupada (020)",5541,58,1902,2176,1204,201
"Sin nivel (021)",197,2,14,65,77,39
"Educación inicial (022)",3,1,2,,,
"Primaria (023)",947,33,183,309,322,100
"Secundaria (024)",2532,22,1059,953,461,37
"Superior no univ. incompleta (025)",513,,216,199,91,7
"Superior no univ. completa (026)",696,,241,336,110,9
"Superior univ. incompleta (027)",217,,74,89,51,3
"Superior univ. completa (028)",436,,113,225,92,6
"Desocupada (030)",143,3,89,39,12,
"Primaria (033)",14,2,4,5,3,
"Secundaria (034)",90,1,60,23,6,
