"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia HUAROCHIRI (000)",19207,177,6912,6628,2127,793,340,90,15,,2125
"Conviviente (001)",6577,64,2683,2271,663,191,71,19,4,,611
"Separado(a) (002)",1143,18,423,410,136,56,20,6,1,,73
"Casado(a) (003)",7424,54,2592,2741,958,378,175,36,7,,483
"Viudo(a) (004)",1770,27,689,645,153,75,32,17,2,,130
"Divorciado(a) (005)",96,2,29,34,5,9,5,,,,12
"Soltero(a) (006)",2197,12,496,527,212,84,37,12,1,,816
,,,,,,,,,,,
"URBANA (008)",13485,105,4629,4746,1585,608,262,68,10,,1472
"Conviviente (009)",4379,34,1707,1570,463,140,52,12,3,,398
"Separado(a) (010)",813,9,300,300,104,44,12,3,1,,40
"Casado(a) (011)",5395,36,1793,1987,752,305,142,29,4,,347
"Viudo(a) (012)",1258,18,478,475,110,52,22,15,1,,87
"Divorciado(a) (013)",74,2,19,31,4,6,4,,,,8
"Soltero(a) (014)",1566,6,332,383,152,61,30,9,1,,592
,,,,,,,,,,,
"RURAL (016)",5722,72,2283,1882,542,185,78,22,5,,653
"Conviviente (017)",2198,30,976,701,200,51,19,7,1,,213
"Separado(a) (018)",330,9,123,110,32,12,8,3,,,33
"Casado(a) (019)",2029,18,799,754,206,73,33,7,3,,136
"Viudo(a) (020)",512,9,211,170,43,23,10,2,1,,43
"Divorciado(a) (021)",22,,10,3,1,3,1,,,,4
"Soltero(a) (022)",631,6,164,144,60,23,7,3,,,224
