"CUADRO Nº 4: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,
,,,,,,,
"PROVINCIA, DISTRITO, ÁREA, URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia UCAYALI (000)",61017,1770,24635,15695,10064,6646,2207
"Jefe o Jefa (001)",11777,,29,2227,4670,3716,1135
"Esposa(o) / compañera(o) (002)",8873,,25,2834,3515,2107,392
"Hijo(a) / hijastro(a) (003)",29477,1293,19859,7423,798,100,4
"Yerno / nuera (004)",974,,17,737,190,27,3
"Nieto(a) (005)",3412,307,2721,368,16,,
"Padres / suegros (006)",731,,,2,28,235,466
"Otro(a) pariente (007)",4493,153,1783,1500,560,332,165
"Trabajador(a) del hogar (008)",111,,15,78,11,6,1
"Pensionistas (009)",162,,10,98,39,12,3
"Otro(a) no pariente (010)",1007,17,176,428,237,111,38
"Hombres (011)",31943,909,12546,7991,5389,3826,1282
"Jefe o Jefa (012)",10003,,17,1789,4027,3239,931
"Esposa(o) / compañera(o) (013)",318,,7,115,93,74,29
"Hijo(a) / hijastro(a) (014)",15725,675,10073,4369,534,72,2
"Yerno / nuera (015)",423,,3,268,131,21,
"Nieto(a) (016)",1777,156,1396,215,10,,
"Padres / suegros (017)",333,,,,11,107,215
"Otro(a) pariente (018)",2574,73,950,894,375,205,77
"Trabajador(a) del hogar (019)",26,,3,14,5,3,1
"Pensionistas (020)",88,,4,49,24,8,3
"Otro(a) no pariente (021)",676,5,93,278,179,97,24
"Mujeres (022)",29074,861,12089,7704,4675,2820,925
"Jefe o Jefa (023)",1774,,12,438,643,477,204
"Esposa(o) / compañera(o) (024)",8555,,18,2719,3422,2033,363
"Hijo(a) / hijastro(a) (025)",13752,618,9786,3054,264,28,2
"Yerno / nuera (026)",551,,14,469,59,6,3
"Nieto(a) (027)",1635,151,1325,153,6,,
"Padres / suegros (028)",398,,,2,17,128,251
"Otro(a) pariente (029)",1919,80,833,606,185,127,88
"Trabajador(a) del hogar (030)",85,,12,64,6,3,
"Pensionistas (031)",74,,6,49,15,4,
"Otro(a) no pariente (032)",331,12,83,150,58,14,14
,,,,,,,
"URBANA (033)",33098,861,12642,8832,5634,3790,1339
"Jefe o Jefa (034)",6413,,13,1019,2538,2144,699
"Esposa(o) / compañera(o) (035)",4703,,11,1283,1953,1200,256
"Hijo(a) / hijastro(a) (036)",15547,587,9872,4499,506,79,4
"Yerno / nuera (037)",608,,5,463,120,18,2
"Nieto(a) (038)",2134,184,1671,267,12,,
"Padres / suegros (039)",397,,,1,11,111,274
"Otro(a) pariente (040)",2497,78,931,910,322,170,86
"Trabajador(a) del hogar (041)",90,,13,64,7,5,1
"Pensionistas (042)",85,,4,57,22,2,
"Otro(a) no pariente (043)",624,12,122,269,143,61,17
"Hombres (044)",17056,457,6381,4408,2903,2149,758
"Jefe o Jefa (045)",5213,,9,746,2087,1816,555
"Esposa(o) / compañera(o) (046)",241,,3,84,67,61,26
"Hijo(a) / hijastro(a) (047)",8242,320,4983,2554,329,54,2
"Yerno / nuera (048)",251,,2,152,82,15,
"Nieto(a) (049)",1108,95,852,154,7,,
"Padres / suegros (050)",181,,,,3,50,128
"Otro(a) pariente (051)",1363,39,464,518,207,100,35
"Trabajador(a) del hogar (052)",20,,2,12,2,3,1
"Pensionistas (053)",41,,1,28,11,1,
"Otro(a) no pariente (054)",396,3,65,160,108,49,11
"Mujeres (055)",16042,404,6261,4424,2731,1641,581
"Jefe o Jefa (056)",1200,,4,273,451,328,144
"Esposa(o) / compañera(o) (057)",4462,,8,1199,1886,1139,230
"Hijo(a) / hijastro(a) (058)",7305,267,4889,1945,177,25,2
"Yerno / nuera (059)",357,,3,311,38,3,2
"Nieto(a) (060)",1026,89,819,113,5,,
"Padres / suegros (061)",216,,,1,8,61,146
"Otro(a) pariente (062)",1134,39,467,392,115,70,51
"Trabajador(a) del hogar (063)",70,,11,52,5,2,
"Pensionistas (064)",44,,3,29,11,1,
"Otro(a) no pariente (065)",228,9,57,109,35,12,6
,,,,,,,
"RURAL (066)",27919,909,11993,6863,4430,2856,868
"Jefe o Jefa (067)",5364,,16,1208,2132,1572,436
"Esposa(o) / compañera(o) (068)",4170,,14,1551,1562,907,136
"Hijo(a) / hijastro(a) (069)",13930,706,9987,2924,292,21,
"Yerno / nuera (070)",366,,12,274,70,9,1
"Nieto(a) (071)",1278,123,1050,101,4,,
"Padres / suegros (072)",334,,,1,17,124,192
"Otro(a) pariente (073)",1996,75,852,590,238,162,79
"Trabajador(a) del hogar (074)",21,,2,14,4,1,
"Pensionistas (075)",77,,6,41,17,10,3
"Otro(a) no pariente (076)",383,5,54,159,94,50,21
"Hombres (077)",14887,452,6165,3583,2486,1677,524
"Jefe o Jefa (078)",4790,,8,1043,1940,1423,376
"Esposa(o) / compañera(o) (079)",77,,4,31,26,13,3
"Hijo(a) / hijastro(a) (080)",7483,355,5090,1815,205,18,
"Yerno / nuera (081)",172,,1,116,49,6,
"Nieto(a) (082)",669,61,544,61,3,,
"Padres / suegros (083)",152,,,,8,57,87
"Otro(a) pariente (084)",1211,34,486,376,168,105,42
"Trabajador(a) del hogar (085)",6,,1,2,3,,
"Pensionistas (086)",47,,3,21,13,7,3
"Otro(a) no pariente (087)",280,2,28,118,71,48,13
"Mujeres (088)",13032,457,5828,3280,1944,1179,344
"Jefe o Jefa (089)",574,,8,165,192,149,60
"Esposa(o) / compañera(o) (090)",4093,,10,1520,1536,894,133
"Hijo(a) / hijastro(a) (091)",6447,351,4897,1109,87,3,
"Yerno / nuera (092)",194,,11,158,21,3,1
"Nieto(a) (093)",609,62,506,40,1,,
"Padres / suegros (094)",182,,,1,9,67,105
"Otro(a) pariente (095)",785,41,366,214,70,57,37
"Trabajador(a) del hogar (096)",15,,1,12,1,1,
"Pensionistas (097)",30,,3,20,4,3,
