"CUADRO Nº 20: TOTAL DE VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR RÉGIMEN DE TENENCIA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"RÉGIMEN DE TENENCIA",,,,,
,,ALQUILADA,"PROPIA POR INVASIÓN","PROPIA PAGÁNDOLA A PLAZOS","PROPIA TOTALMENTE PAGADA","CEDIDA POR EL CENTRO DE TRABAJO/OTRO HOGAR /INSTITUCIÓN","OTRA FORMA"
,,,,,,,
"Provincia BELLAVISTA",,,,,,,
"Viviendas particulares (001)",11400,1445,572,412,8598,208,165
"Ocupantes presentes (002)",48716,5118,2435,1594,38091,801,677
"Casa independiente",,,,,,,
"Viviendas particulares (004)",9538,1213,260,385,7412,148,120
"Ocupantes presentes (005)",41027,4367,1118,1509,32970,569,494
"Departamento en edificio",,,,,,,
"Viviendas particulares (007)",8,6,,1,1,,
"Ocupantes presentes (008)",33,27,,5,1,,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (010)",141,100,,5,31,5,
"Ocupantes presentes (011)",442,274,,17,128,23,
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (013)",32,23,,,8,1,
"Ocupantes presentes (014)",94,58,,,32,4,
"Choza o cabaña",,,,,,,
"Viviendas particulares (016)",1634,90,312,21,1127,43,41
"Ocupantes presentes (017)",6941,348,1317,63,4879,167,167
"Vivienda improvisada",,,,,,,
"Viviendas particulares (019)",26,8,,,12,3,3
"Ocupantes presentes (020)",109,27,,,61,8,13
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (022)",16,5,,,4,6,1
"Ocupantes presentes (023)",57,17,,,17,20,3
"Otro tipo",,,,,,,
"Viviendas particulares (025)",5,,,,3,2,
"Ocupantes presentes (026)",13,,,,3,10,
,,,,,,,
URBANA,,,,,,,
"Viviendas particulares (028)",6261,1073,99,358,4568,71,92
"Ocupantes presentes (029)",26604,3786,398,1402,20349,274,395
"Casa independiente",,,,,,,
"Viviendas particulares (031)",6042,933,99,352,4511,58,89
"Ocupantes presentes (032)",25883,3388,398,1380,20114,221,382
"Departamento en edificio",,,,,,,
"Viviendas particulares (034)",8,6,,1,1,,
"Ocupantes presentes (035)",33,27,,5,1,,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (037)",141,100,,5,31,5,
"Ocupantes presentes (038)",442,274,,17,128,23,
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (040)",32,23,,,8,1,
"Ocupantes presentes (041)",94,58,,,32,4,
"Choza o cabaña",,,,,,,
"Vivienda improvisada",,,,,,,
"Viviendas particulares (046)",26,8,,,12,3,3
"Ocupantes presentes (047)",109,27,,,61,8,13
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (049)",8,3,,,3,2,
"Ocupantes presentes (050)",31,12,,,11,8,
"Otro tipo",,,,,,,
"Viviendas particulares (052)",4,,,,2,2,
"Ocupantes presentes (053)",12,,,,2,10,
,,,,,,,
RURAL,,,,,,,
"Viviendas particulares (055)",5139,372,473,54,4030,137,73
"Ocupantes presentes (056)",22112,1332,2037,192,17742,527,282
"Casa independiente",,,,,,,
"Viviendas particulares (058)",3496,280,161,33,2901,90,31
"Ocupantes presentes (059)",15144,979,720,129,12856,348,112
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Choza o cabaña",,,,,,,
"Viviendas particulares (070)",1634,90,312,21,1127,43,41
"Ocupantes presentes (071)",6941,348,1317,63,4879,167,167
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (076)",8,2,,,1,4,1
"Ocupantes presentes (077)",26,5,,,6,12,3
"Otro tipo",,,,,,,
"Viviendas particulares (079)",1,,,,1,,
"Ocupantes presentes (080)",1,,,,1,,
