"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia VIRU (000)",30684,15492,3135,2625,9432
"Sin nivel (001)",2375,1432,286,188,469
"Educación inicial (002)",73,43,7,5,18
"Primaria (003)",12104,6431,1313,1025,3335
"Secundaria (004)",10901,5102,1057,921,3821
"Superior no univ. incompleta (005)",1614,759,126,147,582
"Superior no univ. completa (006)",1670,755,150,146,619
"Superior univ. incompleta (007)",715,377,60,61,217
"Superior univ. completa (008)",1232,593,136,132,371
"De 06 a 14 años (010)",606,389,117,73,27
"Sin nivel (011)",41,33,6,1,1
"Educación inicial (012)",7,5,2,,
"Primaria (013)",384,239,77,55,13
"Secundaria (014)",174,112,32,17,13
"De 15 a 29 años (020)",14482,5742,1534,1368,5838
"Sin nivel (021)",513,236,72,54,151
"Educación inicial (022)",46,24,3,5,14
"Primaria (023)",4907,2022,544,492,1849
"Secundaria (024)",6456,2509,653,572,2722
"Superior no univ. incompleta (025)",915,334,85,95,401
"Superior no univ. completa (026)",822,288,83,76,375
"Superior univ. incompleta (027)",399,179,37,32,151
"Superior univ. completa (028)",424,150,57,42,175
"De 30 a 44 años (030)",9372,4909,880,804,2779
"Sin nivel (031)",807,426,88,67,226
"Educación inicial (032)",20,14,2,,4
"Primaria (033)",3718,1928,385,309,1096
"Secundaria (034)",2968,1571,258,252,887
"Superior no univ. incompleta (035)",504,280,31,41,152
"Superior no univ. completa (036)",622,314,47,54,207
"Superior univ. incompleta (037)",212,117,14,25,56
"Superior univ. completa (038)",521,259,55,56,151
"De 45 a 64 años (040)",5042,3479,482,345,736
"Sin nivel (041)",729,499,92,57,81
"Primaria (043)",2443,1701,237,152,353
"Secundaria (044)",1164,803,98,74,189
"Superior no univ. incompleta (045)",173,127,9,10,27
"Superior no univ. completa (046)",193,126,17,16,34
"Superior univ. incompleta (047)",92,69,9,4,10
"Superior univ. completa (048)",248,154,20,32,42
"De 65 y más años (050)",1182,973,122,35,52
"Sin nivel (051)",285,238,28,9,10
"Primaria (053)",652,541,70,17,24
"Secundaria (054)",139,107,16,6,10
"Superior no univ. incompleta (055)",22,18,1,1,2
"Superior no univ. completa (056)",33,27,3,,3
"Superior univ. incompleta (057)",12,12,,,
"Superior univ. completa (058)",39,30,4,2,3
