"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia MARISCAL LUZURIAGA (000)",4480,3546,529,231,174
"Empleado (001)",736,199,213,175,149
"Obrero (002)",921,637,210,50,24
"Trabajador independiente (003)",2137,2062,75,,
"Empleador o patrono (004)",37,32,3,2,
"Trabajador familiar no remunerado (005)",581,548,28,4,1
"Trabajador del hogar (006)",68,68,,,
"De 06 a 14 años (008)",42,39,2,1,
"Obrero (010)",10,8,1,1,
"Trabajador independiente (011)",6,6,,,
"Trabajador familiar no remunerado (013)",21,20,1,,
"Trabajador del hogar (014)",5,5,,,
"De 15 a 29 años (016)",1292,1034,159,39,60
"Empleado (017)",153,42,42,21,48
"Obrero (018)",330,228,75,16,11
"Trabajador independiente (019)",547,521,26,,
"Empleador o patrono (020)",9,9,,,
"Trabajador familiar no remunerado (021)",238,219,16,2,1
"Trabajador del hogar (022)",15,15,,,
"De 30 a 44 años (024)",1612,1170,234,136,72
"Empleado (025)",417,112,124,116,65
"Obrero (026)",297,198,74,18,7
"Trabajador independiente (027)",706,679,27,,
"Empleador o patrono (028)",10,8,1,1,
"Trabajador familiar no remunerado (029)",163,154,8,1,
"Trabajador del hogar (030)",19,19,,,
"De 45 a 64 años (032)",1161,954,119,52,36
"Empleado (033)",157,42,45,38,32
"Obrero (034)",215,147,50,14,4
"Trabajador independiente (035)",647,628,19,,
"Empleador o patrono (036)",13,11,2,,
"Trabajador familiar no remunerado (037)",107,104,3,,
"Trabajador del hogar (038)",22,22,,,
"De 65 y más años (040)",373,349,15,3,6
"Empleado (041)",9,3,2,,4
"Obrero (042)",69,56,10,1,2
"Trabajador independiente (043)",231,228,3,,
"Empleador o patrono (044)",5,4,,1,
"Trabajador familiar no remunerado (045)",52,51,,1,
"Trabajador del hogar (046)",7,7,,,
,,,,,
"URBANA (048)",986,614,139,129,104
"Empleado (049)",379,89,84,111,95
"Obrero (050)",146,92,30,16,8
"Trabajador independiente (051)",352,334,18,,
"Empleador o patrono (052)",7,5,1,1,
"Trabajador familiar no remunerado (053)",75,67,6,1,1
"Trabajador del hogar (054)",27,27,,,
"De 06 a 14 años (056)",10,10,,,
"Obrero (058)",2,2,,,
"Trabajador independiente (059)",2,2,,,
