"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia HUAMALIES (000)",35111,32034,3077
"Hombres (001)",17638,16194,1444
"Mujeres (002)",17473,15840,1633
"De 18 a 29 años (003)",11433,10244,1189
"Hombres (004)",5874,5180,694
"Mujeres (005)",5559,5064,495
"De 30 a 44 años (006)",11257,10702,555
"Hombres (007)",5541,5272,269
"Mujeres (008)",5716,5430,286
"De 45 a 64 años (009)",8552,7991,561
"Hombres (010)",4384,4140,244
"Mujeres (011)",4168,3851,317
"De 65 y más años (012)",3869,3097,772
"Hombres (013)",1839,1602,237
"Mujeres (014)",2030,1495,535
,,,
"URBANA (015)",10138,9644,494
"Hombres (016)",4896,4669,227
"Mujeres (017)",5242,4975,267
"De 18 a 29 años (018)",3135,2907,228
"Hombres (019)",1537,1384,153
"Mujeres (020)",1598,1523,75
"De 30 a 44 años (021)",3414,3366,48
"Hombres (022)",1612,1592,20
"Mujeres (023)",1802,1774,28
"De 45 a 64 años (024)",2452,2388,64
"Hombres (025)",1230,1211,19
"Mujeres (026)",1222,1177,45
"De 65 y más años (027)",1137,983,154
"Hombres (028)",517,482,35
"Mujeres (029)",620,501,119
,,,
"RURAL (030)",24973,22390,2583
"Hombres (031)",12742,11525,1217
"Mujeres (032)",12231,10865,1366
"De 18 a 29 años (033)",8298,7337,961
"Hombres (034)",4337,3796,541
"Mujeres (035)",3961,3541,420
"De 30 a 44 años (036)",7843,7336,507
"Hombres (037)",3929,3680,249
"Mujeres (038)",3914,3656,258
"De 45 a 64 años (039)",6100,5603,497
"Hombres (040)",3154,2929,225
"Mujeres (041)",2946,2674,272
"De 65 y más años (042)",2732,2114,618
"Hombres (043)",1322,1120,202
"Mujeres (044)",1410,994,416
