"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia CARLOS FERMIN FITZCARRALD (000)",21322,480,7921,5022,3308,3018,1573
"Hombres (001)",10304,258,3942,2455,1564,1388,697
"Mujeres (002)",11018,222,3979,2567,1744,1630,876
"Viviendas particulares (003)",21302,480,7918,5015,3298,3018,1573
"Hombres (004)",10293,258,3942,2451,1557,1388,697
"Mujeres (005)",11009,222,3976,2564,1741,1630,876
"Otro tipo (009)",20,,3,7,10,,
"Hombres (010)",11,,,4,7,,
"Mujeres (011)",9,,3,3,3,,
,,,,,,,
"URBANA (012)",3403,77,1089,876,671,485,205
"Hombres (013)",1668,43,541,415,318,253,98
"Mujeres (014)",1735,34,548,461,353,232,107
"Viviendas particulares (015)",3383,77,1086,869,661,485,205
"Hombres (016)",1657,43,541,411,311,253,98
"Mujeres (017)",1726,34,545,458,350,232,107
"Otro tipo (021)",20,,3,7,10,,
"Hombres (022)",11,,,4,7,,
"Mujeres (023)",9,,3,3,3,,
,,,,,,,
"RURAL (024)",17919,403,6832,4146,2637,2533,1368
"Hombres (025)",8636,215,3401,2040,1246,1135,599
"Mujeres (026)",9283,188,3431,2106,1391,1398,769
"Viviendas particulares (027)",17919,403,6832,4146,2637,2533,1368
"Hombres (028)",8636,215,3401,2040,1246,1135,599
"Mujeres (029)",9283,188,3431,2106,1391,1398,769
