"CUADRO Nº 20: TOTAL DE VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR RÉGIMEN DE TENENCIA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"RÉGIMEN DE TENENCIA",,,,,
,,ALQUILADA,"PROPIA POR INVASIÓN","PROPIA PAGÁNDOLA A PLAZOS","PROPIA TOTALMENTE PAGADA","CEDIDA POR EL CENTRO DE TRABAJO/OTRO HOGAR /INSTITUCIÓN","OTRA FORMA"
,,,,,,,
"Provincia LAURICOCHA",,,,,,,
"Viviendas particulares (001)",7866,746,159,82,6308,263,308
"Ocupantes presentes (002)",34003,2851,757,347,27617,1154,1277
"Casa independiente",,,,,,,
"Viviendas particulares (004)",7062,668,155,80,5694,188,277
"Ocupantes presentes (005)",30361,2526,733,337,24795,823,1147
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (013)",9,5,,,4,,
"Ocupantes presentes (014)",17,8,,,9,,
"Choza o cabaña",,,,,,,
"Viviendas particulares (016)",782,71,4,2,604,70,31
"Ocupantes presentes (017)",3570,299,24,10,2793,314,130
"Vivienda improvisada",,,,,,,
"Viviendas particulares (019)",3,,,,3,,
"Ocupantes presentes (020)",10,,,,10,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (022)",8,2,,,1,5,
"Ocupantes presentes (023)",40,18,,,5,17,
"Otro tipo",,,,,,,
"Viviendas particulares (025)",2,,,,2,,
"Ocupantes presentes (026)",5,,,,5,,
,,,,,,,
URBANA,,,,,,,
"Viviendas particulares (028)",2024,366,29,35,1491,31,72
"Ocupantes presentes (029)",7873,1269,111,125,5994,96,278
"Casa independiente",,,,,,,
"Viviendas particulares (031)",2010,361,29,35,1483,30,72
"Ocupantes presentes (032)",7839,1261,111,125,5971,93,278
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (040)",9,5,,,4,,
"Ocupantes presentes (041)",17,8,,,9,,
"Choza o cabaña",,,,,,,
"Vivienda improvisada",,,,,,,
"Viviendas particulares (046)",3,,,,3,,
"Ocupantes presentes (047)",10,,,,10,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (049)",1,,,,,1,
"Ocupantes presentes (050)",3,,,,,3,
"Otro tipo",,,,,,,
"Viviendas particulares (052)",1,,,,1,,
"Ocupantes presentes (053)",4,,,,4,,
,,,,,,,
RURAL,,,,,,,
"Viviendas particulares (055)",5842,380,130,47,4817,232,236
"Ocupantes presentes (056)",26130,1582,646,222,21623,1058,999
"Casa independiente",,,,,,,
"Viviendas particulares (058)",5052,307,126,45,4211,158,205
"Ocupantes presentes (059)",22522,1265,622,212,18824,730,869
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Choza o cabaña",,,,,,,
"Viviendas particulares (070)",782,71,4,2,604,70,31
"Ocupantes presentes (071)",3570,299,24,10,2793,314,130
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (076)",7,2,,,1,4,
"Ocupantes presentes (077)",37,18,,,5,14,
"Otro tipo",,,,,,,
"Viviendas particulares (079)",1,,,,1,,
"Ocupantes presentes (080)",1,,,,1,,
