"CUADRO Nº 7: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR MATERIAL DE PREDOMINANTE EN LAS PAREDES EXTERIORES DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"MATERIAL PREDOMINANTE EN LAS PAREDES EXTERIORES DE LA VIVIENDA",,,,,,,
,,"LADRILLO O BLOQUE DE CEMENTO","ADOBE O TAPIA","MADERA (PONA, TOR-NILLO, ETC.)","QUINCHA (CAÑA CON BARRO)",ESTERA,"PIEDRA CON BARRO","PIEDRA O SILLAR CON CAL O CEMENTO","OTRO MATERIAL"
,,,,,,,,,
"Provincia MAYNAS",,,,,,,,,
"Viviendas particulares (001)",96113,42651,500,50154,111,1552,29,57,1059
"Ocupantes presentes (002)",486072,208862,2551,260966,604,7220,146,278,5445
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",79437,38875,469,37927,82,1365,18,53,648
"Ocupantes presentes (005)",410603,197613,2405,199788,447,6417,87,265,3581
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",534,520,2,12,,,,,
"Ocupantes presentes (008)",1755,1686,15,54,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",3447,2952,12,478,3,,,2,
"Ocupantes presentes (011)",10105,8373,44,1678,5,,,5,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",381,201,1,167,,11,,,1
"Ocupantes presentes (014)",1723,881,8,781,,52,,,1
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",11567,,16,11061,26,105,11,2,346
"Ocupantes presentes (017)",58766,,79,56339,152,463,59,8,1666
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",571,,,483,,68,,,20
"Ocupantes presentes (020)",2600,,,2243,,279,,,78
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",139,103,,26,,3,,,7
"Ocupantes presentes (023)",424,309,,83,,9,,,23
"Otro tipo",,,,,,,,,
"Viviendas particulares (025)",37,,,,,,,,37
"Ocupantes presentes (026)",96,,,,,,,,96
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",76743,42256,463,31883,62,1371,16,51,641
"Ocupantes presentes (029)",386891,206979,2380,167104,321,6375,72,244,3416
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",71654,38486,448,30723,59,1290,16,49,583
"Ocupantes presentes (032)",370225,195740,2313,162281,316,6036,72,239,3228
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",534,520,2,12,,,,,
"Ocupantes presentes (035)",1755,1686,15,54,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",3447,2952,12,478,3,,,2,
"Ocupantes presentes (038)",10105,8373,44,1678,5,,,5,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",381,201,1,167,,11,,,1
"Ocupantes presentes (041)",1723,881,8,781,,52,,,1
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",571,,,483,,68,,,20
"Ocupantes presentes (047)",2600,,,2243,,279,,,78
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",124,97,,20,,2,,,5
"Ocupantes presentes (050)",394,299,,67,,8,,,20
"Otro tipo",,,,,,,,,
"Viviendas particulares (052)",32,,,,,,,,32
"Ocupantes presentes (053)",89,,,,,,,,89
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",19370,395,37,18271,49,181,13,6,418
"Ocupantes presentes (056)",99181,1883,171,93862,283,845,74,34,2029
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",7783,389,21,7204,23,75,2,4,65
"Ocupantes presentes (059)",40378,1873,92,37507,131,381,15,26,353
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",11567,,16,11061,26,105,11,2,346
"Ocupantes presentes (071)",58766,,79,56339,152,463,59,8,1666
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",15,6,,6,,1,,,2
"Ocupantes presentes (077)",30,10,,16,,1,,,3
"Otro tipo",,,,,,,,,
"Viviendas particulares (079)",5,,,,,,,,5
"Ocupantes presentes (080)",7,,,,,,,,7
