"CUADRO Nº 1: POBLACIÓN TOTAL, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia YAULI (000)",49838,3652,22589,2028,21971
"Menos de 1 año (001)",836,220,311,23,285
"De 1 a 14 años (002)",14444,2348,6602,330,5256
"De 15 a 29 años (003)",12928,604,4492,539,7377
"De 30 a 44 años (004)",11814,304,6089,666,4902
"De 45 a 64 años (005)",7720,129,4135,361,3165
"De 65 y mas años (006)",2096,47,960,109,986
"Hombres (008)",26433,1753,12876,1405,10689
"Menos de 1 año (009)",430,103,165,15,148
"De 1 a 14 años (010)",7386,1221,3351,166,2694
"De 15 a 29 años (011)",6775,217,2654,408,3564
"De 30 a 44 años (012)",6447,129,3581,504,2349
"De 45 a 64 años (013)",4381,56,2596,262,1522
"De 65 y mas años (014)",1014,27,529,50,412
"Mujeres (016)",23405,1899,9713,623,11282
"Menos de 1 año (017)",406,117,146,8,137
"De 1 a 14 años (018)",7058,1127,3251,164,2562
"De 15 a 29 años (019)",6153,387,1838,131,3813
"De 30 a 44 años (020)",5367,175,2508,162,2553
"De 45 a 64 años (021)",3339,73,1539,99,1643
"De 65 y mas años (022)",1082,20,431,59,574
,,,,,
"URBANA (024)",43818,3217,20881,1785,18250
"Menos de 1 año (025)",751,193,302,22,237
"De 1 a 14 años (026)",12913,2030,6291,314,4370
"De 15 a 29 años (027)",11283,549,4051,455,6279
"De 30 a 44 años (028)",10470,283,5559,564,4167
"De 45 a 64 años (029)",6692,119,3824,331,2478
"De 65 y mas años (030)",1709,43,854,99,719
"Hombres (032)",22954,1533,11640,1194,8791
"Menos de 1 año (033)",387,91,161,14,122
"De 1 a 14 años (034)",6606,1054,3198,160,2240
"De 15 a 29 años (035)",5786,192,2297,329,3003
"De 30 a 44 años (036)",5576,121,3135,412,1981
"De 45 a 64 años (037)",3774,51,2377,235,1156
"De 65 y mas años (038)",825,24,472,44,289
"Mujeres (040)",20864,1684,9241,591,9459
"Menos de 1 año (041)",364,102,141,8,115
"De 1 a 14 años (042)",6307,976,3093,154,2130
"De 15 a 29 años (043)",5497,357,1754,126,3276
"De 30 a 44 años (044)",4894,162,2424,152,2186
"De 45 a 64 años (045)",2918,68,1447,96,1322
"De 65 y mas años (046)",884,19,382,55,430
,,,,,
"RURAL (048)",6020,435,1708,243,3721
"Menos de 1 año (049)",85,27,9,1,48
"De 1 a 14 años (050)",1531,318,311,16,886
"De 15 a 29 años (051)",1645,55,441,84,1098
"De 30 a 44 años (052)",1344,21,530,102,735
"De 45 a 64 años (053)",1028,10,311,30,687
"De 65 y mas años (054)",387,4,106,10,267
"Hombres (056)",3479,220,1236,211,1898
"Menos de 1 año (057)",43,12,4,1,26
"De 1 a 14 años (058)",780,167,153,6,454
"De 15 a 29 años (059)",989,25,357,79,561
"De 30 a 44 años (060)",871,8,446,92,368
"De 45 a 64 años (061)",607,5,219,27,366
"De 65 y mas años (062)",189,3,57,6,123
"Mujeres (064)",2541,215,472,32,1823
"Menos de 1 año (065)",42,15,5,,22
"De 1 a 14 años (066)",751,151,158,10,432
"De 15 a 29 años (067)",656,30,84,5,537
"De 30 a 44 años (068)",473,13,84,10,367
"De 45 a 64 años (069)",421,5,92,3,321
"De 65 y mas años (070)",198,1,49,4,144
