"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia VIRU (000)",751,156,595
"Sin nivel (001)",56,7,49
"Educación inicial (002)",3,,3
"Primaria (003)",312,54,258
"Secundaria (004)",277,68,209
"Superior no univ. incompleta (005)",30,7,23
"Superior no univ. completa (006)",35,11,24
"Superior univ. incompleta (007)",9,5,4
"Superior univ. completa (008)",29,4,25
"Hombres (010)",507,89,418
"Sin nivel (011)",29,2,27
"Educación inicial (012)",3,,3
"Primaria (013)",219,29,190
"Secundaria (014)",196,49,147
"Superior no univ. incompleta (015)",19,2,17
"Superior no univ. completa (016)",19,4,15
"Superior univ. incompleta (017)",4,1,3
"Superior univ. completa (018)",18,2,16
"Mujeres (020)",244,67,177
"Sin nivel (021)",27,5,22
"Primaria (023)",93,25,68
"Secundaria (024)",81,19,62
"Superior no univ. incompleta (025)",11,5,6
"Superior no univ. completa (026)",16,7,9
"Superior univ. incompleta (027)",5,4,1
"Superior univ. completa (028)",11,2,9
,,,
"AREA URBANA (030)",551,128,423
"Sin nivel (031)",34,6,28
"Educación inicial (032)",3,,3
"Primaria (033)",212,40,172
"Secundaria (034)",218,59,159
"Superior no univ. incompleta (035)",25,6,19
"Superior no univ. completa (036)",29,9,20
"Superior univ. incompleta (037)",7,4,3
"Superior univ. completa (038)",23,4,19
"Hombres (040)",382,81,301
"Sin nivel (041)",17,2,15
"Educación inicial (042)",3,,3
"Primaria (043)",157,26,131
"Secundaria (044)",155,45,110
"Superior no univ. incompleta (045)",15,1,14
"Superior no univ. completa (046)",17,4,13
"Superior univ. incompleta (047)",4,1,3
"Superior univ. completa (048)",14,2,12
"Mujeres (050)",169,47,122
"Sin nivel (051)",17,4,13
"Primaria (053)",55,14,41
"Secundaria (054)",63,14,49
"Superior no univ. incompleta (055)",10,5,5
"Superior no univ. completa (056)",12,5,7
"Superior univ. incompleta (057)",3,3,
"Superior univ. completa (058)",9,2,7
,,,
"AREA RURAL (060)",200,28,172
"Sin nivel (061)",22,1,21
"Primaria (063)",100,14,86
"Secundaria (064)",59,9,50
"Superior no univ. incompleta (065)",5,1,4
"Superior no univ. completa (066)",6,2,4
"Superior univ. incompleta (067)",2,1,1
"Superior univ. completa (068)",6,,6
"Hombres (070)",125,8,117
"Sin nivel (071)",12,,12
"Primaria (073)",62,3,59
"Secundaria (074)",41,4,37
"Superior no univ. incompleta (075)",4,1,3
"Superior no univ. completa (076)",2,,2
"Superior univ. completa (078)",4,,4
"Mujeres (080)",75,20,55
"Sin nivel (081)",10,1,9
"Primaria (083)",38,11,27
"Secundaria (084)",18,5,13
"Superior no univ. incompleta (085)",1,,1
"Superior no univ. completa (086)",4,2,2
"Superior univ. incompleta (087)",2,1,1
"Superior univ. completa (088)",2,,2
