"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia AMBO (000)",27110,21495,5615
"De 3 a 5 años (001)",3816,175,3641
"De 6 a 11 años (002)",8802,7466,1336
"De 12 a 16 años (003)",7433,7255,178
"De 17 a 24 años (004)",7059,6599,460
"Hombres (005)",13718,10984,2734
"De 3 a 5 años (006)",1955,84,1871
"De 6 a 11 años (007)",4466,3806,660
"De 12 a 16 años (008)",3748,3681,67
"De 17 a 24 años (009)",3549,3413,136
"Mujeres (010)",13392,10511,2881
"De 3 a 5 años (011)",1861,91,1770
"De 6 a 11 años (012)",4336,3660,676
"De 12 a 16 años (013)",3685,3574,111
"De 17 a 24 años (014)",3510,3186,324
,,,
"URBANA (015)",8675,7376,1299
"De 3 a 5 años (016)",1099,83,1016
"De 6 a 11 años (017)",2534,2352,182
"De 12 a 16 años (018)",2518,2490,28
"De 17 a 24 años (019)",2524,2451,73
"Hombres (020)",4350,3705,645
"De 3 a 5 años (021)",551,47,504
"De 6 a 11 años (022)",1305,1208,97
"De 12 a 16 años (023)",1245,1232,13
"De 17 a 24 años (024)",1249,1218,31
"Mujeres (025)",4325,3671,654
"De 3 a 5 años (026)",548,36,512
"De 6 a 11 años (027)",1229,1144,85
"De 12 a 16 años (028)",1273,1258,15
"De 17 a 24 años (029)",1275,1233,42
,,,
"RURAL (030)",18435,14119,4316
"De 3 a 5 años (031)",2717,92,2625
"De 6 a 11 años (032)",6268,5114,1154
"De 12 a 16 años (033)",4915,4765,150
"De 17 a 24 años (034)",4535,4148,387
"Hombres (035)",9368,7279,2089
"De 3 a 5 años (036)",1404,37,1367
"De 6 a 11 años (037)",3161,2598,563
"De 12 a 16 años (038)",2503,2449,54
"De 17 a 24 años (039)",2300,2195,105
"Mujeres (040)",9067,6840,2227
"De 3 a 5 años (041)",1313,55,1258
"De 6 a 11 años (042)",3107,2516,591
"De 12 a 16 años (043)",2412,2316,96
"De 17 a 24 años (044)",2235,1953,282
