"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia CANDARAVE (000)",4034,18,210,37,74,160,1546,116,204,1560,13,96
"Agric., ganadería, caza y silvicultura (001)",2647,,2,2,,,1541,,,1102,,
"Pesca (002)",10,,,,,,5,,,5,,
"Explotación de minas y canteras (003)",1,,,,,,,1,,,,
"Industrias manufactureras (004)",111,,,,1,2,,93,14,1,,
"Suministro de electricidad, gas y agua (005)",19,,1,2,,,,3,1,12,,
"Construcción (006)",351,,5,1,2,,,5,118,220,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",172,,,4,1,114,,8,,45,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",6,,,,,1,,5,,,,
"Comercio al por mayor (009)",5,,,2,1,2,,,,,,
"Comercio al por menor (010)",161,,,2,,111,,3,,45,,
"Hoteles y restaurantes (011)",55,,1,2,,33,,,,19,,
"Trans., almac. y comunicaciones (012)",58,,,,11,,,,38,9,,
"Intermediación financiera (013)",1,,,,1,,,,,,,
"Activid.inmobil., empres. y alquileres (014)",37,,9,3,5,9,,1,1,9,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",248,16,12,8,45,1,,5,32,116,13,
"Enseñanza (016)",172,2,164,,1,,,,,5,,
"Servicios sociales y de salud (017)",30,,14,14,,1,,,,1,,
