"CUADRO Nº 4: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICION DE ACTIVIDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia BAGUA (000)",60725,17882,5490,943,36482
"Hombres (001)",31075,8421,2678,511,19507
"Mujeres (002)",29650,9461,2812,432,16975
"PEA (003)",25055,2300,2594,487,19716
"Hombres (004)",18222,1322,1539,333,15058
"Mujeres (005)",6833,978,1055,154,4658
"Ocupada (006)",24239,2180,2552,475,19073
"Hombres (007)",17619,1254,1511,325,14558
"Mujeres (008)",6620,926,1041,150,4515
"Desocupada (009)",816,120,42,12,643
"Hombres (010)",603,68,28,8,500
"Mujeres (011)",213,52,14,4,143
"No PEA (012)",35670,15582,2896,456,16766
"Hombres (013)",12853,7099,1139,178,4449
"Mujeres (014)",22817,8483,1757,278,12317
,,,,,
"URBANA (018)",29513,6619,4806,791,17356
"Hombres (019)",14695,2964,2311,427,9027
"Mujeres (020)",14818,3655,2495,364,8329
"PEA (021)",12662,1077,2269,411,8941
"Hombres (022)",8614,592,1312,274,6461
"Mujeres (023)",4048,485,957,137,2480
"Ocupada (024)",12143,1020,2232,403,8523
"Hombres (025)",8248,566,1289,269,6148
"Mujeres (026)",3895,454,943,134,2375
"Desocupada (027)",519,57,37,8,418
"Hombres (028)",366,26,23,5,313
"Mujeres (029)",153,31,14,3,105
"No PEA (030)",16851,5542,2537,380,8415
"Hombres (031)",6081,2372,999,153,2566
"Mujeres (032)",10770,3170,1538,227,5849
,,,,,
"RURAL (036)",31212,11263,684,152,19126
"Hombres (037)",16380,5457,367,84,10480
"Mujeres (038)",14832,5806,317,68,8646
"PEA (039)",12393,1223,325,76,10775
"Hombres (040)",9608,730,227,59,8597
"Mujeres (041)",2785,493,98,17,2178
"Ocupada (042)",12096,1160,320,72,10550
"Hombres (043)",9371,688,222,56,8410
"Mujeres (044)",2725,472,98,16,2140
"Desocupada (045)",297,63,5,4,225
"Hombres (046)",237,42,5,3,187
"Mujeres (047)",60,21,,1,38
"No PEA (048)",18819,10040,359,76,8351
"Hombres (049)",6772,4727,140,25,1883
"Mujeres (050)",12047,5313,219,51,6468
