"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia HUANTA (000)",93360,1885,35925,23807,15563,11087,5093
"Hombres (001)",46378,938,18348,12198,7589,5123,2182
"Mujeres (002)",46982,947,17577,11609,7974,5964,2911
"Viviendas particulares (003)",92450,1876,35880,23286,15329,11007,5072
"Hombres (004)",45660,930,18325,11751,7413,5070,2171
"Mujeres (005)",46790,946,17555,11535,7916,5937,2901
"Viviendas colectivas (006)",665,8,28,424,151,39,15
"Hombres (007)",562,7,16,391,115,25,8
"Mujeres (008)",103,1,12,33,36,14,7
"Otro tipo (009)",245,1,17,97,83,41,6
"Hombres (010)",156,1,7,56,61,28,3
"Mujeres (011)",89,,10,41,22,13,3
,,,,,,,
"URBANA (012)",42816,769,15902,11617,7419,5057,2052
"Hombres (013)",20903,376,8084,5820,3456,2311,856
"Mujeres (014)",21913,393,7818,5797,3963,2746,1196
"Viviendas particulares (015)",42123,760,15858,11230,7252,4991,2032
"Hombres (016)",20364,368,8061,5490,3332,2267,846
"Mujeres (017)",21759,392,7797,5740,3920,2724,1186
"Viviendas colectivas (018)",524,8,28,319,119,35,15
"Hombres (019)",433,7,16,290,89,23,8
"Mujeres (020)",91,1,12,29,30,12,7
"Otro tipo (021)",169,1,16,68,48,31,5
"Hombres (022)",106,1,7,40,35,21,2
"Mujeres (023)",63,,9,28,13,10,3
,,,,,,,
"RURAL (024)",50544,1116,20023,12190,8144,6030,3041
"Hombres (025)",25475,562,10264,6378,4133,2812,1326
"Mujeres (026)",25069,554,9759,5812,4011,3218,1715
"Viviendas particulares (027)",50327,1116,20022,12056,8077,6016,3040
"Hombres (028)",25296,562,10264,6261,4081,2803,1325
"Mujeres (029)",25031,554,9758,5795,3996,3213,1715
"Viviendas colectivas (030)",141,,,105,32,4,
"Hombres (031)",129,,,101,26,2,
"Mujeres (032)",12,,,4,6,2,
"Otro tipo (033)",76,,1,29,35,10,1
"Hombres (034)",50,,,16,26,7,1
"Mujeres (035)",26,,1,13,9,3,
