"CUADRO Nº 25: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia CASMA (000)",15905,2957,5609,6178,336,601,224
"Agric., ganadería, caza y silvicultura (001)",5869,50,3481,1817,174,347,
"Pesca (002)",822,35,459,311,15,2,
"Explotación de minas y canteras (003)",36,10,24,1,1,,
"Industrias manufactureras (004)",1006,66,617,300,19,4,
"Suministro de electricidad, gas y agua (005)",35,12,21,1,1,,
"Construcción (006)",642,15,446,169,9,3,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",2426,401,99,1685,54,187,
"Venta, mant.y rep. veh.autom y motoc. (008)",269,54,59,140,8,8,
"Comercio al por mayor (009)",242,94,21,103,14,10,
"Comercio al por menor (010)",1915,253,19,1442,32,169,
"Hoteles y restaurantes (011)",781,230,61,436,35,19,
"Trans., almac. y comunicaciones (012)",1666,368,180,1095,13,10,
"Intermediación financiera (013)",29,29,,,,,
"Activid.inmobil., empres. y alquileres (014)",441,279,58,96,6,2,
"Admin.pub. y defensa; p. segur soc.afil (015)",459,387,72,,,,
"Enseñanza (016)",793,763,1,28,1,,
"Servicios sociales y de salud (017)",165,136,3,24,1,1,
"Otras activ. serv.comun.soc y personales (018)",319,127,49,134,6,3,
"Hogares privados con servicio doméstico (019)",224,,,,,,224
"Actividad economica no especificada (021)",192,49,38,81,1,23,
"Hombres (022)",11392,1643,4491,4620,271,356,11
"Agric., ganadería, caza y silvicultura (023)",5059,42,2857,1711,157,292,
"Pesca (024)",739,27,393,302,15,2,
"Explotación de minas y canteras (025)",35,10,23,1,1,,
"Industrias manufactureras (026)",579,43,315,202,17,2,
"Suministro de electricidad, gas y agua (027)",34,11,21,1,1,,
"Construcción (028)",630,11,439,168,9,3,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",1235,218,96,850,31,40,
"Venta, mant.y rep. veh.autom y motoc. (030)",247,44,58,133,6,6,
"Comercio al por mayor (031)",145,57,21,60,7,,
"Comercio al por menor (032)",843,117,17,657,18,34,
"Hoteles y restaurantes (033)",233,76,17,121,16,3,
"Trans., almac. y comunicaciones (034)",1573,300,175,1079,13,6,
"Intermediación financiera (035)",17,17,,,,,
"Activid.inmobil., empres. y alquileres (036)",324,199,52,66,5,2,
"Admin.pub. y defensa; p. segur soc.afil (037)",289,239,50,,,,
"Enseñanza (038)",351,339,,11,1,,
"Servicios sociales y de salud (039)",45,29,2,14,,,
"Otras activ. serv.comun.soc y personales (040)",176,65,38,65,5,3,
"Hogares privados con servicio doméstico (041)",11,,,,,,11
"Actividad economica no especificada (043)",62,17,13,29,,3,
"Mujeres (044)",4513,1314,1118,1558,65,245,213
"Agric., ganadería, caza y silvicultura (045)",810,8,624,106,17,55,
"Pesca (046)",83,8,66,9,,,
"Explotación de minas y canteras (047)",1,,1,,,,
"Industrias manufactureras (048)",427,23,302,98,2,2,
"Suministro de electricidad, gas y agua (049)",1,1,,,,,
"Construcción (050)",12,4,7,1,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",1191,183,3,835,23,147,
"Venta, mant.y rep. veh.autom y motoc. (052)",22,10,1,7,2,2,
"Comercio al por mayor (053)",97,37,,43,7,10,
"Comercio al por menor (054)",1072,136,2,785,14,135,
"Hoteles y restaurantes (055)",548,154,44,315,19,16,
"Trans., almac. y comunicaciones (056)",93,68,5,16,,4,
"Intermediación financiera (057)",12,12,,,,,
"Activid.inmobil., empres. y alquileres (058)",117,80,6,30,1,,
"Admin.pub. y defensa; p. segur soc.afil (059)",170,148,22,,,,
"Enseñanza (060)",442,424,1,17,,,
"Servicios sociales y de salud (061)",120,107,1,10,1,1,
"Otras activ. serv.comun.soc y personales (062)",143,62,11,69,1,,
"Hogares privados con servicio doméstico (063)",213,,,,,,213
"Actividad economica no especificada (065)",130,32,25,52,1,20,
,,,,,,,
"URBANA (066)",11476,2768,3288,4629,236,350,205
"Agric., ganadería, caza y silvicultura (067)",2311,37,1447,636,85,106,
"Pesca (068)",755,35,424,279,15,2,
"Explotación de minas y canteras (069)",26,8,16,1,1,,
"Industrias manufactureras (070)",921,64,552,283,18,4,
"Suministro de electricidad, gas y agua (071)",19,10,8,,1,,
"Construcción (072)",550,15,360,163,9,3,
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",2278,386,90,1568,51,183,
"Venta, mant.y rep. veh.autom y motoc. (074)",252,49,53,136,6,8,
"Comercio al por mayor (075)",222,94,19,88,14,7,
"Comercio al por menor (076)",1804,243,18,1344,31,168,
"Hoteles y restaurantes (077)",732,215,52,417,29,19,
"Trans., almac. y comunicaciones (078)",1468,349,148,949,12,10,
"Intermediación financiera (079)",29,29,,,,,
"Activid.inmobil., empres. y alquileres (080)",384,245,42,89,6,2,
"Admin.pub. y defensa; p. segur soc.afil (081)",425,357,68,,,,
"Enseñanza (082)",744,714,1,28,1,,
"Servicios sociales y de salud (083)",161,134,3,22,1,1,
"Otras activ. serv.comun.soc y personales (084)",306,123,44,130,6,3,
"Hogares privados con servicio doméstico (085)",205,,,,,,205
"Actividad economica no especificada (087)",162,47,33,64,1,17,
"Hombres (088)",7575,1525,2494,3220,185,141,10
"Agric., ganadería, caza y silvicultura (089)",1872,30,1115,573,76,78,
"Pesca (090)",676,27,361,271,15,2,
"Explotación de minas y canteras (091)",25,8,15,1,1,,
"Industrias manufactureras (092)",515,42,266,189,16,2,
"Suministro de electricidad, gas y agua (093)",18,9,8,,1,,
"Construcción (094)",539,11,354,162,9,3,
"Comerc., rep. veh. autom.,motoc. efect. pers. (095)",1162,210,87,796,29,40,
"Venta, mant.y rep. veh.autom y motoc. (096)",230,39,52,129,4,6,
"Comercio al por mayor (097)",136,57,19,53,7,,
"Comercio al por menor (098)",796,114,16,614,18,34,
"Hoteles y restaurantes (099)",223,72,15,118,15,3,
"Trans., almac. y comunicaciones (100)",1377,282,143,934,12,6,
"Intermediación financiera (101)",17,17,,,,,
"Activid.inmobil., empres. y alquileres (102)",274,168,37,62,5,2,
"Admin.pub. y defensa; p. segur soc.afil (103)",265,219,46,,,,
"Enseñanza (104)",337,325,,11,1,,
"Servicios sociales y de salud (105)",43,27,2,14,,,
"Otras activ. serv.comun.soc y personales (106)",166,61,33,64,5,3,
"Hogares privados con servicio doméstico (107)",10,,,,,,10
"Actividad economica no especificada (109)",56,17,12,25,,2,
"Mujeres (110)",3901,1243,794,1409,51,209,195
"Agric., ganadería, caza y silvicultura (111)",439,7,332,63,9,28,
"Pesca (112)",79,8,63,8,,,
"Explotación de minas y canteras (113)",1,,1,,,,
"Industrias manufactureras (114)",406,22,286,94,2,2,
"Suministro de electricidad, gas y agua (115)",1,1,,,,,
"Construcción (116)",11,4,6,1,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (117)",1116,176,3,772,22,143,
"Venta, mant.y rep. veh.autom y motoc. (118)",22,10,1,7,2,2,
"Comercio al por mayor (119)",86,37,,35,7,7,
