"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CONTRALMIRANTE VILLAR (000)",6115,4430,649,368,668
"Sin nivel (001)",120,106,4,1,9
"Educación inicial (002)",8,4,2,2,
"Primaria (003)",2126,1818,162,49,97
"Secundaria (004)",2465,1852,291,114,208
"Superior no univ. incompleta (005)",300,175,48,30,47
"Superior no univ. completa (006)",563,252,64,87,160
"Superior univ. incompleta (007)",186,89,26,24,47
"Superior univ. completa (008)",347,134,52,61,100
"De 06 a 14 años (010)",82,71,5,2,4
"Primaria (013)",56,50,3,2,1
"Secundaria (014)",26,21,2,,3
"De 15 a 29 años (020)",2059,1472,274,102,211
"Sin nivel (021)",16,13,2,1,
"Educación inicial (022)",5,2,2,1,
"Primaria (023)",416,349,40,5,22
"Secundaria (024)",1136,849,157,46,84
"Superior no univ. incompleta (025)",146,86,26,10,24
"Superior no univ. completa (026)",185,99,22,20,44
"Superior univ. incompleta (027)",71,41,11,5,14
"Superior univ. completa (028)",84,33,14,14,23
"De 30 a 44 años (030)",2161,1482,242,168,269
"Sin nivel (031)",25,20,2,,3
"Educación inicial (032)",3,2,,1,
"Primaria (033)",700,572,68,21,39
"Secundaria (034)",858,651,99,40,68
"Superior no univ. incompleta (035)",90,53,12,15,10
"Superior no univ. completa (036)",272,107,31,51,83
"Superior univ. incompleta (037)",69,30,8,12,19
"Superior univ. completa (038)",144,47,22,28,47
"De 45 a 64 años (040)",1525,1150,121,88,166
"Sin nivel (041)",33,28,,,5
"Primaria (043)",744,660,45,15,24
"Secundaria (044)",426,314,33,28,51
"Superior no univ. incompleta (045)",60,35,10,5,10
"Superior no univ. completa (046)",102,44,11,14,33
"Superior univ. incompleta (047)",46,18,7,7,14
"Superior univ. completa (048)",114,51,15,19,29
"De 65 y más años (050)",288,255,7,8,18
"Sin nivel (051)",46,45,,,1
"Primaria (053)",210,187,6,6,11
"Secundaria (054)",19,17,,,2
"Superior no univ. incompleta (055)",4,1,,,3
"Superior no univ. completa (056)",4,2,,2,
"Superior univ. completa (058)",5,3,1,,1
,,,,,
"URBANA (060)",4857,3351,576,338,592
"Sin nivel (061)",82,69,4,,9
"Educación inicial (062)",8,4,2,2,
"Primaria (063)",1558,1278,147,44,89
