"CUADRO Nº 12: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CUSCO (000)",329333,10059,3474,77650,117087,23205,24516,30322,43020
"Hombres (001)",157939,1974,1739,34861,59552,11123,10613,16761,21316
"Mujeres (002)",171394,8085,1735,42789,57535,12082,13903,13561,21704
"PEA (003)",160409,3364,121,19467,58926,13504,17876,14757,32394
"Hombres (004)",88997,878,48,9339,35931,7542,8800,9247,17212
"Mujeres (005)",71412,2486,73,10128,22995,5962,9076,5510,15182
"Ocupada (006)",154514,3257,117,18860,56571,13013,17163,14206,31327
"Hombres (007)",85755,831,46,8963,34480,7310,8500,8923,16702
"Mujeres (008)",68759,2426,71,9897,22091,5703,8663,5283,14625
"Desocupada (009)",5895,107,4,607,2355,491,713,551,1067
"Hombres (010)",3242,47,2,376,1451,232,300,324,510
"Mujeres (011)",2653,60,2,231,904,259,413,227,557
"No PEA (012)",168924,6695,3353,58183,58161,9701,6640,15565,10626
"Hombres (013)",68942,1096,1691,25522,23621,3581,1813,7514,4104
"Mujeres (014)",99982,5599,1662,32661,34540,6120,4827,8051,6522
,,,,,,,,,
"URBANA (018)",315555,8431,3295,70982,112728,22829,24294,30130,42866
"Hombres (019)",151000,1605,1652,31552,56906,10912,10498,16648,21227
"Mujeres (020)",164555,6826,1643,39430,55822,11917,13796,13482,21639
"PEA (021)",154848,2745,115,17301,56713,13314,17701,14681,32278
"Hombres (022)",85067,610,44,7777,34195,7416,8693,9191,17141
"Mujeres (023)",69781,2135,71,9524,22518,5898,9008,5490,15137
"Ocupada (024)",149075,2647,111,16725,54424,12827,16994,14133,31214
"Hombres (025)",81917,572,42,7424,32794,7186,8398,8869,16632
"Mujeres (026)",67158,2075,69,9301,21630,5641,8596,5264,14582
"Desocupada (027)",5773,98,4,576,2289,487,707,548,1064
"Hombres (028)",3150,38,2,353,1401,230,295,322,509
"Mujeres (029)",2623,60,2,223,888,257,412,226,555
"No PEA (030)",160707,5686,3180,53681,56015,9515,6593,15449,10588
"Hombres (031)",65933,995,1608,23775,22711,3496,1805,7457,4086
"Mujeres (032)",94774,4691,1572,29906,33304,6019,4788,7992,6502
,,,,,,,,,
"RURAL (036)",13778,1628,179,6668,4359,376,222,192,154
"Hombres (037)",6939,369,87,3309,2646,211,115,113,89
"Mujeres (038)",6839,1259,92,3359,1713,165,107,79,65
"PEA (039)",5561,619,6,2166,2213,190,175,76,116
"Hombres (040)",3930,268,4,1562,1736,126,107,56,71
"Mujeres (041)",1631,351,2,604,477,64,68,20,45
"Ocupada (042)",5439,610,6,2135,2147,186,169,73,113
"Hombres (043)",3838,259,4,1539,1686,124,102,54,70
"Mujeres (044)",1601,351,2,596,461,62,67,19,43
"Desocupada (045)",122,9,,31,66,4,6,3,3
"Hombres (046)",92,9,,23,50,2,5,2,1
"Mujeres (047)",30,,,8,16,2,1,1,2
"No PEA (048)",8217,1009,173,4502,2146,186,47,116,38
"Hombres (049)",3009,101,83,1747,910,85,8,57,18
"Mujeres (050)",5208,908,90,2755,1236,101,39,59,20
