"CUADRO Nº 4: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia SAN MARCOS (000)",15297,607,5072,4881,3467,1270
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",24,,4,14,5,1
"Profes., científicos e intelectuales (002)",910,,176,541,187,6
"Técnicos de nivel medio y trab.asimilados (003)",199,,88,74,34,3
"Jefes y empleados de oficina (004)",207,,96,68,39,4
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",923,18,245,353,250,57
"Agricult.trabaj. calif. agrop. y pesqueros (006)",6082,39,1378,1969,1820,876
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",529,6,197,171,128,27
"Obreros construc., conf., papel, fab., instr. (008)",550,2,223,216,98,11
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (009)",4472,491,2043,1057,686,195
"Otra (010)",24,,5,16,3,
"Ocupación no especificada (011)",522,7,171,193,105,46
"Desocupado (012)",855,44,446,209,112,44
"Hombres (013)",12029,407,3862,3820,2843,1097
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",22,,4,13,4,1
"Profes., científicos e intelectuales (015)",485,,83,283,114,5
"Técnicos de nivel medio y trab.asimilados (016)",136,,60,53,20,3
"Jefes y empleados de oficina (017)",108,,43,43,20,2
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",452,11,109,179,124,29
"Agricult.trabaj. calif. agrop. y pesqueros (019)",5843,32,1312,1904,1762,833
"Obreros y oper.minas, cant.,ind.manuf. y otros (020)",425,2,159,143,99,22
"Obreros construc., conf., papel, fab., instr. (021)",537,2,219,209,96,11
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (022)",3059,334,1447,699,451,128
"Otra (023)",24,,5,16,3,
"Ocupación no especificada (024)",279,6,103,99,49,22
"Desocupado (025)",659,20,318,179,101,41
"Mujeres (026)",3268,200,1210,1061,624,173
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",2,,,1,1,
"Profes., científicos e intelectuales (028)",425,,93,258,73,1
"Técnicos de nivel medio y trab.asimilados (029)",63,,28,21,14,
"Jefes y empleados de oficina (030)",99,,53,25,19,2
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",471,7,136,174,126,28
"Agricult.trabaj. calif. agrop. y pesqueros (032)",239,7,66,65,58,43
"Obreros y oper.minas, cant.,ind.manuf. y otros (033)",104,4,38,28,29,5
"Obreros construc., conf., papel, fab., instr. (034)",13,,4,7,2,
