"CUADRO Nº 15: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACIÓN",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia MANU (000)",10166,556,34,2474,4863,755,677,351,456
"Empleado (001)",1838,36,5,224,804,166,271,94,238
"Obrero (002)",3423,145,12,867,1931,203,128,72,65
"Trabajador independiente (003)",3724,294,9,1034,1591,303,220,151,122
"Empleador o patrono (004)",329,18,,75,157,16,24,20,19
"Trabajador familiar no remunerado (005)",572,52,7,181,234,48,27,13,10
"Trabajador del hogar (006)",280,11,1,93,146,19,7,1,2
"Hombres (008)",7279,337,18,1702,3616,567,450,276,313
"Empleado (009)",949,10,2,86,401,98,144,63,145
"Obrero (010)",3235,128,8,813,1839,192,123,71,61
"Trabajador independiente (011)",2494,162,4,642,1103,229,149,118,87
"Empleador o patrono (012)",241,11,,56,115,13,19,14,13
"Trabajador familiar no remunerado (013)",300,24,4,87,129,28,13,9,6
"Trabajador del hogar (014)",60,2,,18,29,7,2,1,1
"Mujeres (016)",2887,219,16,772,1247,188,227,75,143
"Empleado (017)",889,26,3,138,403,68,127,31,93
"Obrero (018)",188,17,4,54,92,11,5,1,4
"Trabajador independiente (019)",1230,132,5,392,488,74,71,33,35
"Empleador o patrono (020)",88,7,,19,42,3,5,6,6
"Trabajador familiar no remunerado (021)",272,28,3,94,105,20,14,4,4
"Trabajador del hogar (022)",220,9,1,75,117,12,5,,1
,,,,,,,,,
"URBANA (024)",3217,143,4,672,1429,307,274,151,237
"Empleado (025)",870,11,1,98,343,92,132,46,147
"Obrero (026)",568,25,1,140,296,49,23,23,11
"Trabajador independiente (027)",1400,89,2,322,615,139,97,73,63
"Empleador o patrono (028)",73,4,,15,29,5,10,4,6
"Trabajador familiar no remunerado (029)",197,10,,72,80,13,9,5,8
"Trabajador del hogar (030)",109,4,,25,66,9,3,,2
"Hombres (032)",1984,63,2,366,923,206,167,116,141
"Empleado (033)",453,2,,40,180,48,68,30,85
"Obrero (034)",522,19,1,128,273,46,22,23,10
"Trabajador independiente (035)",849,34,1,149,404,100,63,59,39
"Empleador o patrono (036)",47,2,,10,19,4,9,1,2
"Trabajador familiar no remunerado (037)",95,5,,34,40,5,4,3,4
"Trabajador del hogar (038)",18,1,,5,7,3,1,,1
"Mujeres (040)",1233,80,2,306,506,101,107,35,96
"Empleado (041)",417,9,1,58,163,44,64,16,62
"Obrero (042)",46,6,,12,23,3,1,,1
"Trabajador independiente (043)",551,55,1,173,211,39,34,14,24
"Empleador o patrono (044)",26,2,,5,10,1,1,3,4
"Trabajador familiar no remunerado (045)",102,5,,38,40,8,5,2,4
"Trabajador del hogar (046)",91,3,,20,59,6,2,,1
,,,,,,,,,
"RURAL (048)",6949,413,30,1802,3434,448,403,200,219
"Empleado (049)",968,25,4,126,461,74,139,48,91
"Obrero (050)",2855,120,11,727,1635,154,105,49,54
"Trabajador independiente (051)",2324,205,7,712,976,164,123,78,59
"Empleador o patrono (052)",256,14,,60,128,11,14,16,13
"Trabajador familiar no remunerado (053)",375,42,7,109,154,35,18,8,2
"Trabajador del hogar (054)",171,7,1,68,80,10,4,1,
"Hombres (056)",5295,274,16,1336,2693,361,283,160,172
"Empleado (057)",496,8,2,46,221,50,76,33,60
"Obrero (058)",2713,109,7,685,1566,146,101,48,51
"Trabajador independiente (059)",1645,128,3,493,699,129,86,59,48
"Empleador o patrono (060)",194,9,,46,96,9,10,13,11
"Trabajador familiar no remunerado (061)",205,19,4,53,89,23,9,6,2
"Trabajador del hogar (062)",42,1,,13,22,4,1,1,
"Mujeres (064)",1654,139,14,466,741,87,120,40,47
"Empleado (065)",472,17,2,80,240,24,63,15,31
"Obrero (066)",142,11,4,42,69,8,4,1,3
"Trabajador independiente (067)",679,77,4,219,277,35,37,19,11
"Empleador o patrono (068)",62,5,,14,32,2,4,3,2
"Trabajador familiar no remunerado (069)",170,23,3,56,65,12,9,2,
"Trabajador del hogar (070)",129,6,1,55,58,6,3,,
