"CUADRO Nº 4: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICION DE ACTIVIDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia TARATA (000)",7056,2143,611,161,4154
"Hombres (001)",3639,999,323,124,2201
"Mujeres (002)",3417,1144,288,37,1953
"PEA (003)",4267,961,407,115,2790
"Hombres (004)",2486,504,228,96,1661
"Mujeres (005)",1781,457,179,19,1129
"Ocupada (006)",4048,908,398,111,2637
"Hombres (007)",2332,475,220,93,1547
"Mujeres (008)",1716,433,178,18,1090
"Desocupada (009)",219,53,9,4,153
"Hombres (010)",154,29,8,3,114
"Mujeres (011)",65,24,1,1,39
"No PEA (012)",2789,1182,204,46,1364
"Hombres (013)",1153,495,95,28,540
"Mujeres (014)",1636,687,109,18,824
,,,,,
"URBANA (018)",5502,1367,512,135,3500
"Hombres (019)",2814,613,272,104,1832
"Mujeres (020)",2688,754,240,31,1668
"PEA (021)",3217,523,330,93,2277
"Hombres (022)",1851,258,184,78,1334
"Mujeres (023)",1366,265,146,15,943
"Ocupada (024)",3041,491,322,89,2145
"Hombres (025)",1736,248,177,75,1239
"Mujeres (026)",1305,243,145,14,906
"Desocupada (027)",176,32,8,4,132
"Hombres (028)",115,10,7,3,95
"Mujeres (029)",61,22,1,1,37
"No PEA (030)",2285,844,182,42,1223
"Hombres (031)",963,355,88,26,498
"Mujeres (032)",1322,489,94,16,725
,,,,,
"RURAL (036)",1554,776,99,26,654
"Hombres (037)",825,386,51,20,369
"Mujeres (038)",729,390,48,6,285
"PEA (039)",1050,438,77,22,513
"Hombres (040)",635,246,44,18,327
"Mujeres (041)",415,192,33,4,186
"Ocupada (042)",1007,417,76,22,492
"Hombres (043)",596,227,43,18,308
"Mujeres (044)",411,190,33,4,184
"Desocupada (045)",43,21,1,,21
"Hombres (046)",39,19,1,,19
"Mujeres (047)",4,2,,,2
"No PEA (048)",504,338,22,4,141
"Hombres (049)",190,140,7,2,42
"Mujeres (050)",314,198,15,2,99
