"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia LUYA (000)",12082,106,318,783,1299,2313,4815,2448
"De 12 a 14 años (001)",23,,,,,,2,21
"De 15 a 19 años (002)",411,,,,,,276,135
"De 20 a 24 años (003)",1259,,,,,,868,391
"De 25 a 29 años (004)",1464,,,,,67,1086,311
"De 30 a 34 años (005)",1317,,,,1,156,951,209
"De 35 a 39 años (006)",1330,,,,7,335,828,160
"De 40 a 44 años (007)",1157,,,,46,452,493,166
"De 45 a 49 años (008)",978,,,3,104,490,259,122
"De 50 y más años (009)",4143,106,318,780,1141,813,52,933
"PEA (010)",2609,4,37,113,267,596,997,595
"De 12 a 14 años (011)",2,,,,,,,2
"De 15 a 19 años (012)",45,,,,,,32,13
"De 20 a 24 años (013)",227,,,,,,139,88
"De 25 a 29 años (014)",326,,,,,19,207,100
"De 30 a 34 años (015)",331,,,,,48,207,76
"De 35 a 39 años (016)",398,,,,2,108,230,58
"De 40 a 44 años (017)",324,,,,18,131,119,56
"De 45 a 49 años (018)",257,,,1,33,126,56,41
"De 50 y más años (019)",699,4,37,112,214,164,7,161
"Ocupada (020)",2583,4,37,110,265,591,989,587
"De 12 a 14 años (021)",2,,,,,,,2
"De 15 a 19 años (022)",44,,,,,,32,12
"De 20 a 24 años (023)",218,,,,,,135,83
"De 25 a 29 años (024)",324,,,,,18,206,100
"De 30 a 34 años (025)",329,,,,,48,206,75
"De 35 a 39 años (026)",396,,,,2,107,229,58
"De 40 a 44 años (027)",320,,,,18,129,118,55
"De 45 a 49 años (028)",256,,,1,33,125,56,41
"De 50 y más años (029)",694,4,37,109,212,164,7,161
"Desocupada (030)",26,,,3,2,5,8,8
"De 15 a 19 años (032)",1,,,,,,,1
"De 20 a 24 años (033)",9,,,,,,4,5
"De 25 a 29 años (034)",2,,,,,1,1,
"De 30 a 34 años (035)",2,,,,,,1,1
"De 35 a 39 años (036)",2,,,,,1,1,
"De 40 a 44 años (037)",4,,,,,2,1,1
"De 45 a 49 años (038)",1,,,,,1,,
"De 50 y más años (039)",5,,,3,2,,,
"No PEA (040)",9473,102,281,670,1032,1717,3818,1853
"De 12 a 14 años (041)",21,,,,,,2,19
"De 15 a 19 años (042)",366,,,,,,244,122
"De 20 a 24 años (043)",1032,,,,,,729,303
"De 25 a 29 años (044)",1138,,,,,48,879,211
"De 30 a 34 años (045)",986,,,,1,108,744,133
"De 35 a 39 años (046)",932,,,,5,227,598,102
"De 40 a 44 años (047)",833,,,,28,321,374,110
"De 45 a 49 años (048)",721,,,2,71,364,203,81
