"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia AYMARAES (000)",8055,238,3935,2323,676,206,83,28,3,,563
"Catolica (001)",7009,206,3402,2035,594,184,71,26,3,,488
"Cristiana / Evangelica (002)",769,25,373,229,63,16,8,2,,,53
"Otra (003)",177,6,104,37,10,3,2,,,,15
"Ninguna (004)",100,1,56,22,9,3,2,,,,7
,,,,,,,,,,,
"URBANA (006)",3575,88,1580,1097,365,106,51,16,1,,271
"Catolica (007)",3187,76,1405,979,327,98,45,16,1,,240
"Cristiana / Evangelica (008)",292,9,132,92,30,4,4,,,,21
"Otra (009)",60,3,28,16,2,2,1,,,,8
"Ninguna (010)",36,,15,10,6,2,1,,,,2
,,,,,,,,,,,
"RURAL (012)",4480,150,2355,1226,311,100,32,12,2,,292
"Catolica (013)",3822,130,1997,1056,267,86,26,10,2,,248
"Cristiana / Evangelica (014)",477,16,241,137,33,12,4,2,,,32
"Otra (015)",117,3,76,21,8,1,1,,,,7
"Ninguna (016)",64,1,41,12,3,1,1,,,,5
