"CUADRO Nº 1: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR NÚMERO DE HOGARES, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HOGARES",,,,
,,1,2,3,4,"5 Y MÁS"
,,,,,,
"Provincia HUARAL",,,,,,
"Viviendas particulares (001)",39427,37904,1220,247,46,10
"Ocupantes presentes (002)",161991,148610,9735,2757,703,186
"Casa independiente",,,,,,
"Viviendas particulares (004)",35893,34457,1161,223,44,8
"Ocupantes presentes (005)",149183,136611,9266,2490,672,144
"Departamento en edificio",,,,,,
"Viviendas particulares (007)",768,729,28,9,,2
"Ocupantes presentes (008)",2702,2364,204,92,,42
"Vivienda en quinta",,,,,,
"Viviendas particulares (010)",821,804,9,7,1,
"Ocupantes presentes (011)",2903,2737,75,79,12,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (013)",775,752,14,8,1,
"Ocupantes presentes (014)",2909,2662,132,96,19,
"Choza o cabaña",,,,,,
"Viviendas particulares (016)",312,312,,,,
"Ocupantes presentes (017)",1110,1110,,,,
"Vivienda improvisada",,,,,,
"Viviendas particulares (019)",781,773,8,,,
"Ocupantes presentes (020)",2971,2913,58,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (022)",70,70,,,,
"Ocupantes presentes (023)",195,195,,,,
"Otro tipo",,,,,,
"Viviendas particulares (025)",7,7,,,,
"Ocupantes presentes (026)",18,18,,,,
,,,,,,
URBANA,,,,,,
"Viviendas particulares (028)",32491,31064,1134,241,42,10
"Ocupantes presentes (029)",135396,122761,9102,2703,644,186
"Casa independiente",,,,,,
"Viviendas particulares (031)",29282,27942,1075,217,40,8
"Ocupantes presentes (032)",123732,111906,8633,2436,613,144
"Departamento en edificio",,,,,,
"Viviendas particulares (034)",768,729,28,9,,2
"Ocupantes presentes (035)",2702,2364,204,92,,42
"Vivienda en quinta",,,,,,
"Viviendas particulares (037)",821,804,9,7,1,
"Ocupantes presentes (038)",2903,2737,75,79,12,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (040)",775,752,14,8,1,
"Ocupantes presentes (041)",2909,2662,132,96,19,
"Choza o cabaña",,,,,,
"Vivienda improvisada",,,,,,
"Viviendas particulares (046)",781,773,8,,,
"Ocupantes presentes (047)",2971,2913,58,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (049)",60,60,,,,
"Ocupantes presentes (050)",164,164,,,,
"Otro tipo",,,,,,
"Viviendas particulares (052)",4,4,,,,
"Ocupantes presentes (053)",15,15,,,,
,,,,,,
RURAL,,,,,,
"Viviendas particulares (055)",6936,6840,86,6,4,
"Ocupantes presentes (056)",26595,25849,633,54,59,
"Casa independiente",,,,,,
"Viviendas particulares (058)",6611,6515,86,6,4,
"Ocupantes presentes (059)",25451,24705,633,54,59,
"Departamento en edificio",,,,,,
"Vivienda en quinta",,,,,,
"Vivienda en casa de vecindad",,,,,,
"Choza o cabaña",,,,,,
"Viviendas particulares (070)",312,312,,,,
"Ocupantes presentes (071)",1110,1110,,,,
"Vivienda improvisada",,,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (076)",10,10,,,,
"Ocupantes presentes (077)",31,31,,,,
"Otro tipo",,,,,,
"Viviendas particulares (079)",3,3,,,,
"Ocupantes presentes (080)",3,3,,,,
