"CUADRO Nº 20: TOTAL DE VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR RÉGIMEN DE TENENCIA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"RÉGIMEN DE TENENCIA",,,,,
,,ALQUILADA,"PROPIA POR INVASIÓN","PROPIA PAGÁNDOLA A PLAZOS","PROPIA TOTALMENTE PAGADA","CEDIDA POR EL CENTRO DE TRABAJO/OTRO HOGAR /INSTITUCIÓN","OTRA FORMA"
,,,,,,,
"Provincia PAITA",,,,,,,
"Viviendas particulares (001)",24305,1313,5891,1108,14576,652,765
"Ocupantes presentes (002)",107818,4851,24629,4784,67846,2569,3139
"Casa independiente",,,,,,,
"Viviendas particulares (004)",24126,1255,5831,1105,14540,645,750
"Ocupantes presentes (005)",107208,4673,24456,4772,67654,2549,3104
"Departamento en edificio",,,,,,,
"Viviendas particulares (007)",38,28,,2,2,3,3
"Ocupantes presentes (008)",127,89,,8,9,9,12
"Vivienda en quinta",,,,,,,
"Viviendas particulares (010)",14,11,,,2,,1
"Ocupantes presentes (011)",41,31,,,8,,2
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (013)",20,4,,,14,1,1
"Ocupantes presentes (014)",123,12,,,101,7,3
"Choza o cabaña",,,,,,,
"Viviendas particulares (016)",4,,1,,3,,
"Ocupantes presentes (017)",24,,1,,23,,
"Vivienda improvisada",,,,,,,
"Viviendas particulares (019)",73,5,59,1,6,,2
"Ocupantes presentes (020)",215,10,172,4,21,,8
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (022)",22,5,,,7,3,7
"Ocupantes presentes (023)",55,23,,,21,4,7
"Otro tipo",,,,,,,
"Viviendas particulares (025)",8,5,,,2,,1
"Ocupantes presentes (026)",25,13,,,9,,3
,,,,,,,
URBANA,,,,,,,
"Viviendas particulares (028)",23213,1293,5823,1098,13679,625,695
"Ocupantes presentes (029)",102971,4788,24356,4739,63781,2462,2845
"Casa independiente",,,,,,,
"Viviendas particulares (031)",23040,1236,5764,1095,13646,619,680
"Ocupantes presentes (032)",102388,4612,24184,4727,63612,2443,2810
"Departamento en edificio",,,,,,,
"Viviendas particulares (034)",38,28,,2,2,3,3
"Ocupantes presentes (035)",127,89,,8,9,9,12
"Vivienda en quinta",,,,,,,
"Viviendas particulares (037)",14,11,,,2,,1
"Ocupantes presentes (038)",41,31,,,8,,2
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (040)",20,4,,,14,1,1
"Ocupantes presentes (041)",123,12,,,101,7,3
"Choza o cabaña",,,,,,,
"Vivienda improvisada",,,,,,,
"Viviendas particulares (046)",73,5,59,1,6,,2
"Ocupantes presentes (047)",215,10,172,4,21,,8
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (049)",20,4,,,7,2,7
"Ocupantes presentes (050)",52,21,,,21,3,7
"Otro tipo",,,,,,,
"Viviendas particulares (052)",8,5,,,2,,1
"Ocupantes presentes (053)",25,13,,,9,,3
,,,,,,,
RURAL,,,,,,,
"Viviendas particulares (055)",1092,20,68,10,897,27,70
"Ocupantes presentes (056)",4847,63,273,45,4065,107,294
"Casa independiente",,,,,,,
"Viviendas particulares (058)",1086,19,67,10,894,26,70
"Ocupantes presentes (059)",4820,61,272,45,4042,106,294
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Choza o cabaña",,,,,,,
"Viviendas particulares (070)",4,,1,,3,,
"Ocupantes presentes (071)",24,,1,,23,,
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (076)",2,1,,,,1,
"Ocupantes presentes (077)",3,2,,,,1,
"Otro tipo",,,,,,,
