"CUADRO Nº 18: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia TOCACHE (000)",29062,4879,5885,14287,731,2670,610
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",50,47,,,3,,
"Profes., científicos e intelectuales (002)",1608,1492,,107,8,1,
"Técnicos de nivel medio y trab. asimilados (003)",796,526,,230,28,12,
"Jefes y empleados de oficina (004)",764,755,,7,,2,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",2429,430,45,1527,110,317,
"Agricult.trabaj. calif.agrop. y pesqueros (006)",10549,6,3,10047,493,,
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",1281,,616,600,37,28,
"Obreros construc.,conf., papel, fab., instr. (008)",1637,148,562,878,29,20,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (009)",8592,563,4517,710,10,2182,610
"Otra (010)",730,730,,,,,
"Ocupación no especificada (011)",626,182,142,181,13,108,
"Hombres (012)",22722,3308,5360,11836,607,1579,32
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",39,37,,,2,,
"Profes., científicos e intelectuales (014)",904,822,,74,7,1,
"Técnicos de nivel medio y trab. asimilados (015)",579,390,,165,16,8,
"Jefes y empleados de oficina (016)",504,500,,4,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",985,224,11,635,53,62,
"Agricult.trabaj. calif.agrop. y pesqueros (018)",9756,6,3,9291,456,,
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",1146,,577,509,36,24,
"Obreros construc.,conf., papel, fab., instr. (020)",1615,147,558,862,29,19,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (021)",6267,429,4124,238,3,1441,32
"Otra (022)",683,683,,,,,
"Ocupación no especificada (023)",244,70,87,58,5,24,
"Mujeres (024)",6340,1571,525,2451,124,1091,578
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",11,10,,,1,,
"Profes., científicos e intelectuales (026)",704,670,,33,1,,
"Técnicos de nivel medio y trab. asimilados (027)",217,136,,65,12,4,
"Jefes y empleados de oficina (028)",260,255,,3,,2,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",1444,206,34,892,57,255,
"Agricult.trabaj. calif.agrop. y pesqueros (030)",793,,,756,37,,
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",135,,39,91,1,4,
"Obreros construc.,conf., papel, fab., instr. (032)",22,1,4,16,,1,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (033)",2325,134,393,472,7,741,578
"Otra (034)",47,47,,,,,
"Ocupación no especificada (035)",382,112,55,123,8,84,
,,,,,,,
"URBANA (036)",14867,4294,2299,6474,384,992,424
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (037)",45,42,,,3,,
"Profes., científicos e intelectuales (038)",1371,1266,,97,8,,
"Técnicos de nivel medio y trab. asimilados (039)",672,429,,205,27,11,
"Jefes y empleados de oficina (040)",703,694,,7,,2,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (041)",2066,352,30,1297,99,288,
"Agricult.trabaj. calif.agrop. y pesqueros (042)",3103,3,3,2926,171,,
"Obreros y oper.minas, cant., ind.manuf.y otros (043)",1012,,437,523,31,21,
"Obreros construc.,conf., papel, fab., instr. (044)",1275,134,415,685,28,13,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (045)",3465,518,1306,598,7,612,424
"Otra (046)",715,715,,,,,
"Ocupación no especificada (047)",440,141,108,136,10,45,
"Hombres (048)",10524,2919,2044,4740,290,508,23
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (049)",34,32,,,2,,
"Profes., científicos e intelectuales (050)",766,690,,69,7,,
"Técnicos de nivel medio y trab. asimilados (051)",478,314,,142,15,7,
"Jefes y empleados de oficina (052)",461,457,,4,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (053)",830,170,7,547,48,58,
"Agricult.trabaj. calif.agrop. y pesqueros (054)",2783,3,3,2624,153,,
"Obreros y oper.minas, cant., ind.manuf.y otros (055)",888,,402,439,30,17,
"Obreros construc.,conf., papel, fab., instr. (056)",1258,133,413,671,28,13,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (057)",2158,390,1150,195,2,398,23
"Otra (058)",668,668,,,,,
"Ocupación no especificada (059)",200,62,69,49,5,15,
"Mujeres (060)",4343,1375,255,1734,94,484,401
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (061)",11,10,,,1,,
"Profes., científicos e intelectuales (062)",605,576,,28,1,,
"Técnicos de nivel medio y trab. asimilados (063)",194,115,,63,12,4,
"Jefes y empleados de oficina (064)",242,237,,3,,2,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (065)",1236,182,23,750,51,230,
"Agricult.trabaj. calif.agrop. y pesqueros (066)",320,,,302,18,,
"Obreros y oper.minas, cant., ind.manuf.y otros (067)",124,,35,84,1,4,
"Obreros construc.,conf., papel, fab., instr. (068)",17,1,2,14,,,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (069)",1307,128,156,403,5,214,401
"Otra (070)",47,47,,,,,
"Ocupación no especificada (071)",240,79,39,87,5,30,
,,,,,,,
"RURAL (072)",14195,585,3586,7813,347,1678,186
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (073)",5,5,,,,,
"Profes., científicos e intelectuales (074)",237,226,,10,,1,
"Técnicos de nivel medio y trab. asimilados (075)",124,97,,25,1,1,
"Jefes y empleados de oficina (076)",61,61,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (077)",363,78,15,230,11,29,
"Agricult.trabaj. calif.agrop. y pesqueros (078)",7446,3,,7121,322,,
"Obreros y oper.minas, cant., ind.manuf.y otros (079)",269,,179,77,6,7,
"Obreros construc.,conf., papel, fab., instr. (080)",362,14,147,193,1,7,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (081)",5127,45,3211,112,3,1570,186
"Otra (082)",15,15,,,,,
"Ocupación no especificada (083)",186,41,34,45,3,63,
"Hombres (084)",12198,389,3316,7096,317,1071,9
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (085)",5,5,,,,,
"Profes., científicos e intelectuales (086)",138,132,,5,,1,
"Técnicos de nivel medio y trab. asimilados (087)",101,76,,23,1,1,
"Jefes y empleados de oficina (088)",43,43,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (089)",155,54,4,88,5,4,
"Agricult.trabaj. calif.agrop. y pesqueros (090)",6973,3,,6667,303,,
"Obreros y oper.minas, cant., ind.manuf.y otros (091)",258,,175,70,6,7,
"Obreros construc.,conf., papel, fab., instr. (092)",357,14,145,191,1,6,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (093)",4109,39,2974,43,1,1043,9
"Otra (094)",15,15,,,,,
"Ocupación no especificada (095)",44,8,18,9,,9,
"Mujeres (096)",1997,196,270,717,30,607,177
"Profes., científicos e intelectuales (098)",99,94,,5,,,
