"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia RECUAY (000)",5493,43,1883,1997,636,240,128,54,12,,500
"Catolica (001)",5140,41,1776,1851,599,226,119,50,10,,468
"Cristiana / Evangelica (002)",296,2,96,123,29,10,6,3,2,,25
"Otra (003)",29,,7,10,5,4,1,1,,,1
"Ninguna (004)",28,,4,13,3,,2,,,,6
,,,,,,,,,,,
"URBANA (006)",3190,21,1018,1175,418,149,85,34,9,,281
"Catolica (007)",2992,19,962,1097,398,139,78,31,7,,261
"Cristiana / Evangelica (008)",160,2,50,63,15,6,5,2,2,,15
"Otra (009)",21,,6,7,3,4,,1,,,
"Ninguna (010)",17,,,8,2,,2,,,,5
,,,,,,,,,,,
"RURAL (012)",2303,22,865,822,218,91,43,20,3,,219
"Catolica (013)",2148,22,814,754,201,87,41,19,3,,207
"Cristiana / Evangelica (014)",136,,46,60,14,4,1,1,,,10
"Otra (015)",8,,1,3,2,,1,,,,1
"Ninguna (016)",11,,4,5,1,,,,,,1
