"CUADRO Nº 3: VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia MARISCAL RAMON CASTILLA (000)",114,88,26
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",61,53,8
"Casa pensión (003)",5,5,
"Hospital, clinica (004)",6,5,1
"Aldea infantil, orfelinato, etc (007)",1,1,
"Otro (008)",35,21,14
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",6,3,3
