"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia CASMA (000)",10377,42100,7135,29251,3242,12849
"Casa independiente (001)",10185,41469,6969,28708,3216,12761
"Departamento en edificio (002)",27,81,27,81,,
"Vivienda en quinta (003)",42,135,42,135,,
"Vivienda en casa de vecindad (004)",18,53,18,53,,
"Choza o cabaña (005)",25,83,,,25,83
"Vivienda improvisada (006)",72,239,72,239,,
"Local no dest.para hab. humana (007)",7,36,6,31,1,5
"Otro tipo (008)",1,4,1,4,,
