"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia YUNGUYO (000)",45237,1766,10358,8120,6240,5622,4591,3849,4691
"Quechua (001)",252,,16,38,54,61,34,26,23
"Aymara (002)",30691,576,4512,4774,4495,4473,3954,3514,4393
"Ashaninca (003)",57,3,6,10,8,7,9,8,6
"Otra lengua nativa (004)",18,,8,3,1,3,3,,
"Castellano (005)",14177,1186,5806,3287,1678,1073,585,297,265
"Idioma extranjero (006)",10,,1,1,2,3,2,,1
"Es sordomudo/a (007)",32,1,9,7,2,2,4,4,3
"Hombres (009)",22259,874,5216,4136,2965,2762,2230,1830,2246
"Quechua (010)",127,,8,15,23,30,21,14,16
"Aymara (011)",14779,270,2219,2440,2102,2154,1876,1637,2081
"Ashaninca (012)",24,,1,7,3,3,4,3,3
"Otra lengua nativa (013)",10,,5,2,,1,2,,
"Castellano (014)",7298,604,2980,1669,836,570,322,173,144
"Idioma extranjero (015)",6,,,,,3,2,,1
"Es sordomudo/a (016)",15,,3,3,1,1,3,3,1
"Mujeres (018)",22978,892,5142,3984,3275,2860,2361,2019,2445
"Quechua (019)",125,,8,23,31,31,13,12,7
"Aymara (020)",15912,306,2293,2334,2393,2319,2078,1877,2312
"Ashaninca (021)",33,3,5,3,5,4,5,5,3
"Otra lengua nativa (022)",8,,3,1,1,2,1,,
"Castellano (023)",6879,582,2826,1618,842,503,263,124,121
"Idioma extranjero (024)",4,,1,1,2,,,,
"Es sordomudo/a (025)",17,1,6,4,1,1,1,1,2
,,,,,,,,,
"URBANA (027)",16533,646,3810,3105,2610,2395,1682,1138,1147
"Quechua (028)",169,,9,17,37,43,29,20,14
"Aymara (029)",7165,55,583,933,1252,1420,1135,869,918
"Ashaninca (030)",15,1,,2,4,4,4,,
"Otra lengua nativa (031)",16,,7,3,,3,3,,
"Castellano (032)",9154,590,3209,2147,1315,923,508,249,213
"Idioma extranjero (033)",8,,,1,2,2,2,,1
"Es sordomudo/a (034)",6,,2,2,,,1,,1
"Hombres (036)",8115,324,1913,1532,1220,1186,829,580,531
"Quechua (037)",86,,4,6,18,20,18,11,9
"Aymara (038)",3397,26,289,463,565,689,534,421,410
"Ashaninca (039)",3,,,1,,1,1,,
"Otra lengua nativa (040)",10,,5,2,,1,2,,
"Castellano (041)",4613,298,1615,1059,637,473,272,148,111
"Idioma extranjero (042)",5,,,,,2,2,,1
"Es sordomudo/a (043)",1,,,1,,,,,
"Mujeres (045)",8418,322,1897,1573,1390,1209,853,558,616
"Quechua (046)",83,,5,11,19,23,11,9,5
"Aymara (047)",3768,29,294,470,687,731,601,448,508
"Ashaninca (048)",12,1,,1,4,3,3,,
"Otra lengua nativa (049)",6,,2,1,,2,1,,
"Castellano (050)",4541,292,1594,1088,678,450,236,101,102
"Idioma extranjero (051)",3,,,1,2,,,,
"Es sordomudo/a (052)",5,,2,1,,,1,,1
,,,,,,,,,
"RURAL (054)",28704,1120,6548,5015,3630,3227,2909,2711,3544
"Quechua (055)",83,,7,21,17,18,5,6,9
"Aymara (056)",23526,521,3929,3841,3243,3053,2819,2645,3475
"Ashaninca (057)",42,2,6,8,4,3,5,8,6
"Otra lengua nativa (058)",2,,1,,1,,,,
"Castellano (059)",5023,596,2597,1140,363,150,77,48,52
"Idioma extranjero (060)",2,,1,,,1,,,
"Es sordomudo/a (061)",26,1,7,5,2,2,3,4,2
"Hombres (063)",14144,550,3303,2604,1745,1576,1401,1250,1715
"Quechua (064)",41,,4,9,5,10,3,3,7
"Aymara (065)",11382,244,1930,1977,1537,1465,1342,1216,1671
"Ashaninca (066)",21,,1,6,3,2,3,3,3
"Castellano (068)",2685,306,1365,610,199,97,50,25,33
"Idioma extranjero (069)",1,,,,,1,,,
"Es sordomudo/a (070)",14,,3,2,1,1,3,3,1
"Mujeres (072)",14560,570,3245,2411,1885,1651,1508,1461,1829
"Quechua (073)",42,,3,12,12,8,2,3,2
"Aymara (074)",12144,277,1999,1864,1706,1588,1477,1429,1804
"Ashaninca (075)",21,2,5,2,1,1,2,5,3
"Otra lengua nativa (076)",2,,1,,1,,,,
"Castellano (077)",2338,290,1232,530,164,53,27,23,19
"Idioma extranjero (078)",1,,1,,,,,,
"Es sordomudo/a (079)",12,1,4,3,1,1,,1,1
