"CUADRO Nº 1: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia CASTILLA (000)",33861,6947,9150,8370,6262,3132
"Hombres (001)",17980,3552,4851,4537,3460,1580
"Mujeres (002)",15881,3395,4299,3833,2802,1552
"PEA (003)",17015,241,4942,6166,4354,1312
"Hombres (004)",11870,160,3408,4234,3090,978
"Mujeres (005)",5145,81,1534,1932,1264,334
"Ocupada (006)",16479,238,4681,6007,4265,1288
"Hombres (007)",11486,159,3227,4122,3020,958
"Mujeres (008)",4993,79,1454,1885,1245,330
"Desocupada (009)",536,3,261,159,89,24
"Hombres (010)",384,1,181,112,70,20
"Mujeres (011)",152,2,80,47,19,4
"No PEA (012)",16846,6706,4208,2204,1908,1820
"Hombres (013)",6110,3392,1443,303,370,602
"Mujeres (014)",10736,3314,2765,1901,1538,1218
,,,,,,
"URBANA (018)",19271,4094,5335,4842,3427,1573
"Hombres (019)",9977,2076,2746,2504,1872,779
"Mujeres (020)",9294,2018,2589,2338,1555,794
"PEA (021)",9806,173,2875,3647,2457,654
"Hombres (022)",6432,115,1889,2321,1650,457
"Mujeres (023)",3374,58,986,1326,807,197
"Ocupada (024)",9468,171,2712,3538,2408,639
"Hombres (025)",6202,114,1780,2249,1613,446
"Mujeres (026)",3266,57,932,1289,795,193
"Desocupada (027)",338,2,163,109,49,15
"Hombres (028)",230,1,109,72,37,11
"Mujeres (029)",108,1,54,37,12,4
"No PEA (030)",9465,3921,2460,1195,970,919
"Hombres (031)",3545,1961,857,183,222,322
"Mujeres (032)",5920,1960,1603,1012,748,597
,,,,,,
"RURAL (036)",14590,2853,3815,3528,2835,1559
"Hombres (037)",8003,1476,2105,2033,1588,801
"Mujeres (038)",6587,1377,1710,1495,1247,758
"PEA (039)",7209,68,2067,2519,1897,658
"Hombres (040)",5438,45,1519,1913,1440,521
"Mujeres (041)",1771,23,548,606,457,137
"Ocupada (042)",7011,67,1969,2469,1857,649
"Hombres (043)",5284,45,1447,1873,1407,512
"Mujeres (044)",1727,22,522,596,450,137
"Desocupada (045)",198,1,98,50,40,9
"Hombres (046)",154,,72,40,33,9
"Mujeres (047)",44,1,26,10,7,
"No PEA (048)",7381,2785,1748,1009,938,901
"Hombres (049)",2565,1431,586,120,148,280
"Mujeres (050)",4816,1354,1162,889,790,621
