"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia TUMBES (000)",91520,88247,3273
"Hombres (001)",47181,45142,2039
"Mujeres (002)",44339,43105,1234
"De 18 a 29 años (003)",32084,29937,2147
"Hombres (004)",16517,15015,1502
"Mujeres (005)",15567,14922,645
"De 30 a 44 años (006)",30841,30502,339
"Hombres (007)",15545,15339,206
"Mujeres (008)",15296,15163,133
"De 45 a 64 años (009)",21228,20925,303
"Hombres (010)",11241,11092,149
"Mujeres (011)",9987,9833,154
"De 65 y más años (012)",7367,6883,484
"Hombres (013)",3878,3696,182
"Mujeres (014)",3489,3187,302
,,,
"URBANA (015)",84137,81034,3103
"Hombres (016)",43253,41307,1946
"Mujeres (017)",40884,39727,1157
"De 18 a 29 años (018)",29602,27531,2071
"Hombres (019)",15230,13774,1456
"Mujeres (020)",14372,13757,615
"De 30 a 44 años (021)",28549,28227,322
"Hombres (022)",14348,14150,198
"Mujeres (023)",14201,14077,124
"De 45 a 64 años (024)",19471,19194,277
"Hombres (025)",10302,10165,137
"Mujeres (026)",9169,9029,140
"De 65 y más años (027)",6515,6082,433
"Hombres (028)",3373,3218,155
"Mujeres (029)",3142,2864,278
,,,
"RURAL (030)",7383,7213,170
"Hombres (031)",3928,3835,93
"Mujeres (032)",3455,3378,77
"De 18 a 29 años (033)",2482,2406,76
"Hombres (034)",1287,1241,46
"Mujeres (035)",1195,1165,30
"De 30 a 44 años (036)",2292,2275,17
"Hombres (037)",1197,1189,8
"Mujeres (038)",1095,1086,9
"De 45 a 64 años (039)",1757,1731,26
"Hombres (040)",939,927,12
"Mujeres (041)",818,804,14
"De 65 y más años (042)",852,801,51
"Hombres (043)",505,478,27
"Mujeres (044)",347,323,24
