"CUADRO Nº 12: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CHICLAYO (000)",674726,32770,10668,205785,242080,36522,52344,38687,55870
"Hombres (001)",323393,9137,5429,96139,124614,17331,22433,20219,28091
"Mujeres (002)",351333,23633,5239,109646,117466,19191,29911,18468,27779
"PEA (003)",286673,8803,298,54222,112259,18815,34772,16135,41369
"Hombres (004)",185440,4149,187,35749,80606,11801,18941,10511,23496
"Mujeres (005)",101233,4654,111,18473,31653,7014,15831,5624,17873
"Ocupada (006)",271456,8378,271,51809,105729,17767,33023,15043,39436
"Hombres (007)",175434,3866,167,33931,75934,11201,18074,9838,22423
"Mujeres (008)",96022,4512,104,17878,29795,6566,14949,5205,17013
"Desocupada (009)",15217,425,27,2413,6530,1048,1749,1092,1933
"Hombres (010)",10006,283,20,1818,4672,600,867,673,1073
"Mujeres (011)",5211,142,7,595,1858,448,882,419,860
"No PEA (012)",388053,23967,10370,151563,129821,17707,17572,22552,14501
"Hombres (013)",137953,4988,5242,60390,44008,5530,3492,9708,4595
"Mujeres (014)",250100,18979,5128,91173,85813,12177,14080,12844,9906
,,,,,,,,,
"URBANA (018)",631631,28433,10038,185597,227048,35591,51359,38226,55339
"Hombres (019)",301376,7767,5096,85955,115976,16885,21939,19963,27795
"Mujeres (020)",330255,20666,4942,99642,111072,18706,29420,18263,27544
"PEA (021)",269734,7636,276,47368,104922,18455,34123,15979,40975
"Hombres (022)",171949,3390,170,30302,74394,11541,18508,10397,23247
"Mujeres (023)",97785,4246,106,17066,30528,6914,15615,5582,17728
"Ocupada (024)",255583,7272,252,45315,98919,17428,32431,14897,39069
"Hombres (025)",162748,3151,153,28782,70117,10952,17674,9730,22189
"Mujeres (026)",92835,4121,99,16533,28802,6476,14757,5167,16880
"Desocupada (027)",14151,364,24,2053,6003,1027,1692,1082,1906
"Hombres (028)",9201,239,17,1520,4277,589,834,667,1058
"Mujeres (029)",4950,125,7,533,1726,438,858,415,848
"No PEA (030)",361897,20797,9762,138229,122126,17136,17236,22247,14364
"Hombres (031)",129427,4377,4926,55653,41582,5344,3431,9566,4548
"Mujeres (032)",232470,16420,4836,82576,80544,11792,13805,12681,9816
,,,,,,,,,
"RURAL (036)",43095,4337,630,20188,15032,931,985,461,531
"Hombres (037)",22017,1370,333,10184,8638,446,494,256,296
"Mujeres (038)",21078,2967,297,10004,6394,485,491,205,235
"PEA (039)",16939,1167,22,6854,7337,360,649,156,394
"Hombres (040)",13491,759,17,5447,6212,260,433,114,249
"Mujeres (041)",3448,408,5,1407,1125,100,216,42,145
"Ocupada (042)",15873,1106,19,6494,6810,339,592,146,367
"Hombres (043)",12686,715,14,5149,5817,249,400,108,234
"Mujeres (044)",3187,391,5,1345,993,90,192,38,133
"Desocupada (045)",1066,61,3,360,527,21,57,10,27
"Hombres (046)",805,44,3,298,395,11,33,6,15
"Mujeres (047)",261,17,,62,132,10,24,4,12
"No PEA (048)",26156,3170,608,13334,7695,571,336,305,137
"Hombres (049)",8526,611,316,4737,2426,186,61,142,47
"Mujeres (050)",17630,2559,292,8597,5269,385,275,163,90
