"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia PACHITEA (000)",55830,28006,1651,547,25685
"Sin Nivel (001)",16396,8103,322,104,7883
"Educación Inicial (002)",1409,1125,69,24,200
"Primaria (003)",30417,15908,718,265,13557
"Secundaria (004)",6249,2704,229,107,3210
"Sup. no Univ. Incompleta (005)",313,55,24,1,233
"Sup. no Univ. Completa (006)",275,37,67,11,160
"Sup. Univ. Incompleta (007)",301,35,29,14,223
"Sup. Univ. Completa (008)",470,39,193,21,219
"Hombres (010)",28214,13406,845,285,13709
"Sin Nivel (011)",6273,3231,134,43,2874
"Educación Inicial (012)",688,559,35,13,84
"Primaria (013)",16728,8004,390,136,8216
"Secundaria (014)",3755,1523,117,62,2053
"Sup. no Univ. Incompleta (015)",178,31,16,1,130
"Sup. no Univ. Completa (016)",144,15,31,4,94
"Sup. Univ. Incompleta (017)",187,23,17,12,135
"Sup. Univ. Completa (018)",261,20,105,14,123
"Mujeres (020)",27616,14600,806,262,11976
"Sin Nivel (021)",10123,4872,188,61,5009
"Educación Inicial (022)",721,566,34,11,116
"Primaria (023)",13689,7904,328,129,5341
"Secundaria (024)",2494,1181,112,45,1157
"Sup. no Univ. Incompleta (025)",135,24,8,,103
"Sup. no Univ. Completa (026)",131,22,36,7,66
"Sup. Univ. Incompleta (027)",114,12,12,2,88
"Sup. Univ. Completa (028)",209,19,88,7,96
,,,,,
"URBANA (030)",8127,2916,720,159,4347
"Sin Nivel (031)",1428,589,85,20,735
"Educación Inicial (032)",220,142,27,8,46
"Primaria (033)",3643,1531,220,55,1845
"Secundaria (034)",1924,564,144,42,1175
"Sup. no Univ. Incompleta (035)",192,32,20,,140
"Sup. no Univ. Completa (036)",195,18,51,9,117
"Sup. Univ. Incompleta (037)",208,20,26,10,152
"Sup. Univ. Completa (038)",317,20,147,15,137
"Hombres (040)",4092,1351,374,90,2281
"Sin Nivel (041)",504,238,30,9,227
"Educación Inicial (042)",115,70,16,3,26
"Primaria (043)",1930,730,124,28,1051
"Secundaria (044)",1057,271,79,27,680
"Sup. no Univ. Incompleta (045)",99,16,14,,69
"Sup. no Univ. Completa (046)",97,7,20,3,67
"Sup. Univ. Incompleta (047)",123,11,15,10,87
"Sup. Univ. Completa (048)",167,8,76,10,74
"Mujeres (050)",4035,1565,346,69,2066
"Sin Nivel (051)",924,351,55,11,508
"Educación Inicial (052)",105,72,11,5,20
"Primaria (053)",1713,801,96,27,794
"Secundaria (054)",867,293,65,15,495
"Sup. no Univ. Incompleta (055)",93,16,6,,71
"Sup. no Univ. Completa (056)",98,11,31,6,50
"Sup. Univ. Incompleta (057)",85,9,11,,65
"Sup. Univ. Completa (058)",150,12,71,5,63
,,,,,
"RURAL (060)",47703,25090,931,388,21338
"Sin Nivel (061)",14968,7514,237,84,7148
"Educación Inicial (062)",1189,983,42,16,154
"Primaria (063)",26774,14377,498,210,11712
"Secundaria (064)",4325,2140,85,65,2035
"Sup. no Univ. Incompleta (065)",121,23,4,1,93
"Sup. no Univ. Completa (066)",80,19,16,2,43
"Sup. Univ. Incompleta (067)",93,15,3,4,71
"Sup. Univ. Completa (068)",153,19,46,6,82
"Hombres (070)",24122,12055,471,195,11428
"Sin Nivel (071)",5769,2993,104,34,2647
"Educación Inicial (072)",573,489,19,10,58
"Primaria (073)",14798,7274,266,108,7165
"Secundaria (074)",2698,1252,38,35,1373
"Sup. no Univ. Incompleta (075)",79,15,2,1,61
"Sup. no Univ. Completa (076)",47,8,11,1,27
"Sup. Univ. Incompleta (077)",64,12,2,2,48
"Sup. Univ. Completa (078)",94,12,29,4,49
"Mujeres (080)",23581,13035,460,193,9910
"Sin Nivel (081)",9199,4521,133,50,4501
"Educación Inicial (082)",616,494,23,6,96
"Primaria (083)",11976,7103,232,102,4547
"Secundaria (084)",1627,888,47,30,662
"Sup. no Univ. Incompleta (085)",42,8,2,,32
"Sup. no Univ. Completa (086)",33,11,5,1,16
"Sup. Univ. Incompleta (087)",29,3,1,2,23
"Sup. Univ. Completa (088)",59,7,17,2,33
