"CUADRO Nº 4: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR TIPO DE ENERGÍA O COMBUSTIBLE QUE MÁS UTILIZAN EN EL HOGAR PARA COCINAR SUS ALIMENTOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"ENERGÍA O COMBUSTIBLE QUE MÁS UTILIZA PARA COCINAR",,,,,,,"NO COCINAN"
,,ELECTRICIDAD,GAS,KEROSENE,CARBÓN,LEÑA,"BOSTA, ESTIÉRCOL",OTRO,
,,,,,,,,,
"Provincia MANU",,,,,,,,,
"Hogares (001)",4879,4,1446,14,847,2153,2,5,408
"Ocupantes presentes (002)",18562,15,5071,41,3241,9406,7,12,769
"Casa independiente",,,,,,,,,
"Hogares (004)",4141,4,1334,14,793,1627,1,5,363
"Ocupantes presentes (005)",15495,15,4714,41,3059,6980,2,12,672
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Hogares (010)",48,,40,,,,,,8
"Ocupantes presentes (011)",144,,128,,,,,,16
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (013)",61,,24,,24,8,,,5
"Ocupantes presentes (014)",199,,76,,80,33,,,10
"Choza o cabaña",,,,,,,,,
"Hogares (016)",515,,23,,14,469,1,,8
"Ocupantes presentes (017)",2388,,83,,51,2225,5,,24
"Vivienda improvisada",,,,,,,,,
"Hogares (019)",56,,12,,12,17,,,15
"Ocupantes presentes (020)",148,,34,,35,52,,,27
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (022)",22,,7,,2,4,,,9
"Ocupantes presentes (023)",61,,20,,5,16,,,20
"Otro tipo",,,,,,,,,
"Hogares (025)",36,,6,,2,28,,,
"Ocupantes presentes (026)",127,,16,,11,100,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Hogares (028)",1955,2,912,10,392,402,1,3,233
"Ocupantes presentes (029)",7013,5,3211,28,1538,1788,2,8,433
"Casa independiente",,,,,,,,,
"Hogares (031)",1772,2,827,10,355,375,1,3,199
"Ocupantes presentes (032)",6478,5,2952,28,1420,1694,2,8,369
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Hogares (037)",48,,40,,,,,,8
"Ocupantes presentes (038)",144,,128,,,,,,16
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (040)",61,,24,,24,8,,,5
"Ocupantes presentes (041)",199,,76,,80,33,,,10
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Hogares (046)",56,,12,,12,17,,,15
"Ocupantes presentes (047)",148,,34,,35,52,,,27
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (049)",15,,6,,1,2,,,6
"Ocupantes presentes (050)",39,,16,,3,9,,,11
"Otro tipo",,,,,,,,,
"Hogares (052)",3,,3,,,,,,
"Ocupantes presentes (053)",5,,5,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Hogares (055)",2924,2,534,4,455,1751,1,2,175
"Ocupantes presentes (056)",11549,10,1860,13,1703,7618,5,4,336
"Casa independiente",,,,,,,,,
"Hogares (058)",2369,2,507,4,438,1252,,2,164
"Ocupantes presentes (059)",9017,10,1762,13,1639,5286,,4,303
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Hogares (070)",515,,23,,14,469,1,,8
"Ocupantes presentes (071)",2388,,83,,51,2225,5,,24
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (076)",7,,1,,1,2,,,3
"Ocupantes presentes (077)",22,,4,,2,7,,,9
"Otro tipo",,,,,,,,,
"Hogares (079)",33,,3,,2,28,,,
"Ocupantes presentes (080)",122,,11,,11,100,,,
