"CUADRO Nº 15: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACIÓN",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia TRUJILLO (000)",316229,8786,350,54546,108238,23385,39950,21923,59051
"Empleado (001)",111281,1002,64,6641,25305,8766,19823,10717,38963
"Obrero (002)",61267,1907,95,15749,29594,4180,4656,2504,2582
"Trabajador independiente (003)",114912,4500,101,24286,42847,8471,13033,7070,14604
"Empleador o patrono (004)",6891,119,11,902,1947,446,899,719,1848
"Trabajador familiar no remunerado (005)",8945,389,29,2423,3394,646,829,521,714
"Trabajador del hogar (006)",12933,869,50,4545,5151,876,710,392,340
"Hombres (008)",197197,3618,208,34610,74911,14582,21595,14328,33345
"Empleado (009)",60704,398,35,3931,15991,4946,9173,6299,19931
"Obrero (010)",52181,1335,79,13384,25588,3486,3904,2193,2212
"Trabajador independiente (011)",75284,1716,67,15418,30113,5570,7713,5029,9658
"Empleador o patrono (012)",4830,59,6,631,1426,311,553,534,1310
"Trabajador familiar no remunerado (013)",3693,91,17,1112,1555,230,221,248,219
"Trabajador del hogar (014)",505,19,4,134,238,39,31,25,15
"Mujeres (016)",119032,5168,142,19936,33327,8803,18355,7595,25706
"Empleado (017)",50577,604,29,2710,9314,3820,10650,4418,19032
"Obrero (018)",9086,572,16,2365,4006,694,752,311,370
"Trabajador independiente (019)",39628,2784,34,8868,12734,2901,5320,2041,4946
"Empleador o patrono (020)",2061,60,5,271,521,135,346,185,538
"Trabajador familiar no remunerado (021)",5252,298,12,1311,1839,416,608,273,495
"Trabajador del hogar (022)",12428,850,46,4411,4913,837,679,367,325
,,,,,,,,,
"URBANA (024)",309049,8254,345,51560,105586,23140,39578,21802,58784
"Empleado (025)",110538,984,64,6520,25032,8719,19692,10676,38851
"Obrero (026)",59122,1773,92,14798,28759,4117,4565,2480,2538
"Trabajador independiente (027)",111619,4216,100,22783,41687,8374,12913,7037,14509
"Empleador o patrono (028)",6825,110,11,884,1924,445,897,715,1839
"Trabajador familiar no remunerado (029)",8268,330,29,2131,3132,623,809,506,708
"Trabajador del hogar (030)",12677,841,49,4444,5052,862,702,388,339
"Hombres (032)",191548,3268,204,32158,72750,14412,21359,14233,33164
"Empleado (033)",60263,383,35,3845,15812,4921,9122,6270,19875
"Obrero (034)",50265,1235,76,12533,24823,3432,3821,2172,2173
"Trabajador independiente (035)",72568,1522,66,14145,29126,5496,7629,5001,9583
"Empleador o patrono (036)",4778,51,6,617,1409,310,551,531,1303
"Trabajador familiar no remunerado (037)",3181,59,17,889,1346,214,206,235,215
"Trabajador del hogar (038)",493,18,4,129,234,39,30,24,15
"Mujeres (040)",117501,4986,141,19402,32836,8728,18219,7569,25620
"Empleado (041)",50275,601,29,2675,9220,3798,10570,4406,18976
"Obrero (042)",8857,538,16,2265,3936,685,744,308,365
"Trabajador independiente (043)",39051,2694,34,8638,12561,2878,5284,2036,4926
"Empleador o patrono (044)",2047,59,5,267,515,135,346,184,536
"Trabajador familiar no remunerado (045)",5087,271,12,1242,1786,409,603,271,493
"Trabajador del hogar (046)",12184,823,45,4315,4818,823,672,364,324
,,,,,,,,,
"RURAL (048)",7180,532,5,2986,2652,245,372,121,267
"Empleado (049)",743,18,,121,273,47,131,41,112
"Obrero (050)",2145,134,3,951,835,63,91,24,44
"Trabajador independiente (051)",3293,284,1,1503,1160,97,120,33,95
"Empleador o patrono (052)",66,9,,18,23,1,2,4,9
"Trabajador familiar no remunerado (053)",677,59,,292,262,23,20,15,6
"Trabajador del hogar (054)",256,28,1,101,99,14,8,4,1
"Hombres (056)",5649,350,4,2452,2161,170,236,95,181
"Empleado (057)",441,15,,86,179,25,51,29,56
"Obrero (058)",1916,100,3,851,765,54,83,21,39
"Trabajador independiente (059)",2716,194,1,1273,987,74,84,28,75
"Empleador o patrono (060)",52,8,,14,17,1,2,3,7
"Trabajador familiar no remunerado (061)",512,32,,223,209,16,15,13,4
"Trabajador del hogar (062)",12,1,,5,4,,1,1,
"Mujeres (064)",1531,182,1,534,491,75,136,26,86
"Empleado (065)",302,3,,35,94,22,80,12,56
"Obrero (066)",229,34,,100,70,9,8,3,5
"Trabajador independiente (067)",577,90,,230,173,23,36,5,20
"Empleador o patrono (068)",14,1,,4,6,,,1,2
"Trabajador familiar no remunerado (069)",165,27,,69,53,7,5,2,2
"Trabajador del hogar (070)",244,27,1,96,95,14,7,3,1
