"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia CARLOS FERMIN FITZCARRALD (000)",7719,7484,2231,777,742,647,1139,857,1091,235
"Católica (001)",6722,6509,1964,692,654,557,984,731,927,213
"Cristiana/Evangélica (002)",910,889,245,76,77,79,146,116,150,21
"Otra (003)",50,50,15,2,6,9,7,3,8,
"Ninguna (004)",37,36,7,7,5,2,2,7,6,1
,,,,,,,,,,
"URBANA (006)",1268,1205,359,183,162,140,178,101,82,63
"Católica (007)",1154,1094,332,166,148,132,159,88,69,60
"Cristiana/Evangélica (008)",88,85,21,12,10,5,16,10,11,3
"Otra (009)",18,18,6,2,2,3,3,2,,
"Ninguna (010)",8,8,,3,2,,,1,2,
,,,,,,,,,,
"RURAL (012)",6451,6279,1872,594,580,507,961,756,1009,172
"Católica (013)",5568,5415,1632,526,506,425,825,643,858,153
"Cristiana/Evangélica (014)",822,804,224,64,67,74,130,106,139,18
"Otra (015)",32,32,9,,4,6,4,1,8,
"Ninguna (016)",29,28,7,4,3,2,2,6,4,1
