"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia CONCEPCION (000)",22847,22100,6528,2876,2897,2305,3266,2219,2009,747
"Católica (001)",19114,18481,5534,2437,2505,1947,2660,1802,1596,633
"Cristiana/Evangélica (002)",3164,3074,834,361,326,298,514,369,372,90
"Otra (003)",343,328,90,44,41,35,58,29,31,15
"Ninguna (004)",226,217,70,34,25,25,34,19,10,9
,,,,,,,,,,
"URBANA (006)",12493,11995,3672,1725,1724,1293,1762,1001,818,498
"Católica (007)",10715,10291,3148,1501,1515,1133,1484,835,675,424
"Cristiana/Evangélica (008)",1452,1396,423,174,171,129,230,136,133,56
"Otra (009)",191,178,58,29,22,15,29,17,8,13
"Ninguna (010)",135,130,43,21,16,16,19,13,2,5
,,,,,,,,,,
"RURAL (012)",10354,10105,2856,1151,1173,1012,1504,1218,1191,249
"Católica (013)",8399,8190,2386,936,990,814,1176,967,921,209
"Cristiana/Evangélica (014)",1712,1678,411,187,155,169,284,233,239,34
"Otra (015)",152,150,32,15,19,20,29,12,23,2
"Ninguna (016)",91,87,27,13,9,9,15,6,8,4
