"CUADRO Nº 7: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR MATERIAL DE PREDOMINANTE EN LAS PAREDES EXTERIORES DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"MATERIAL PREDOMINANTE EN LAS PAREDES EXTERIORES DE LA VIVIENDA",,,,,,,
,,"LADRILLO O BLOQUE DE CEMENTO","ADOBE O TAPIA","MADERA (PONA, TOR-NILLO, ETC.)","QUINCHA (CAÑA CON BARRO)",ESTERA,"PIEDRA CON BARRO","PIEDRA O SILLAR CON CAL O CEMENTO","OTRO MATERIAL"
,,,,,,,,,
"Provincia MORROPON",,,,,,,,,
"Viviendas particulares (001)",38414,8626,25877,787,2676,127,73,20,228
"Ocupantes presentes (002)",159347,37216,106034,3278,11065,463,259,96,936
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",37523,8566,25630,643,2328,112,72,19,153
"Ocupantes presentes (005)",155615,37008,104949,2616,9647,406,253,91,645
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",24,19,5,,,,,,
"Ocupantes presentes (008)",94,78,16,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",35,22,11,,2,,,,
"Ocupantes presentes (011)",97,61,27,,9,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",53,15,31,,5,1,,,1
"Ocupantes presentes (014)",175,53,103,,16,2,,,1
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",745,,192,135,341,8,1,1,67
"Ocupantes presentes (017)",3260,,927,632,1393,32,6,5,265
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",18,,,8,,6,,,4
"Ocupantes presentes (020)",64,,,27,,23,,,14
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",13,4,8,1,,,,,
"Ocupantes presentes (023)",31,16,12,3,,,,,
"Otro tipo",,,,,,,,,
"Viviendas particulares (025)",3,,,,,,,,3
"Ocupantes presentes (026)",11,,,,,,,,11
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",22201,7732,12545,310,1344,101,65,14,90
"Ocupantes presentes (029)",91452,33226,50670,1248,5278,362,225,69,374
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",22058,7672,12492,301,1337,94,65,14,83
"Ocupantes presentes (032)",90986,33018,50514,1218,5253,337,225,69,352
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",24,19,5,,,,,,
"Ocupantes presentes (035)",94,78,16,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",35,22,11,,2,,,,
"Ocupantes presentes (038)",97,61,27,,9,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",53,15,31,,5,1,,,1
"Ocupantes presentes (041)",175,53,103,,16,2,,,1
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",18,,,8,,6,,,4
"Ocupantes presentes (047)",64,,,27,,23,,,14
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",11,4,6,1,,,,,
"Ocupantes presentes (050)",29,16,10,3,,,,,
"Otro tipo",,,,,,,,,
"Viviendas particulares (052)",2,,,,,,,,2
"Ocupantes presentes (053)",7,,,,,,,,7
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",16213,894,13332,477,1332,26,8,6,138
"Ocupantes presentes (056)",67895,3990,55364,2030,5787,101,34,27,562
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",15465,894,13138,342,991,18,7,5,70
"Ocupantes presentes (059)",64629,3990,54435,1398,4394,69,28,22,293
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",745,,192,135,341,8,1,1,67
"Ocupantes presentes (071)",3260,,927,632,1393,32,6,5,265
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",2,,2,,,,,,
"Ocupantes presentes (077)",2,,2,,,,,,
"Otro tipo",,,,,,,,,
"Viviendas particulares (079)",1,,,,,,,,1
"Ocupantes presentes (080)",4,,,,,,,,4
