"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia MOHO (000)",7783,48,2301,2940,1052,413,147,47,11,,824
"Sin Nivel (001)",2614,19,690,990,375,195,67,26,8,,244
"Educación Inicial (002)",16,,5,3,2,,,,,,6
"Primaria (003)",3587,25,1131,1388,499,158,61,20,3,,302
"Secundaria (004)",1363,3,454,494,131,41,13,1,,,226
"Sup. no Univ. Incompleta (005)",50,,10,17,2,1,3,,,,17
"Sup. no Univ. Completa (006)",76,1,3,28,26,5,2,,,,11
"Sup. Univ. Incompleta (007)",23,,6,5,3,,,,,,9
"Sup. Univ. Completa (008)",54,,2,15,14,13,1,,,,9
,,,,,,,,,,,
"URBANA (010)",1959,8,540,677,250,98,36,16,2,,332
"Sin Nivel (011)",462,2,128,147,54,29,14,9,1,,78
"Educación Inicial (012)",5,,,1,1,,,,,,3
"Primaria (013)",768,5,210,280,118,39,15,7,1,,93
"Secundaria (014)",580,,184,203,45,18,5,,,,125
"Sup. no Univ. Incompleta (015)",38,,9,14,1,1,,,,,13
"Sup. no Univ. Completa (016)",51,1,3,20,18,2,2,,,,5
"Sup. Univ. Incompleta (017)",19,,6,3,2,,,,,,8
"Sup. Univ. Completa (018)",36,,,9,11,9,,,,,7
,,,,,,,,,,,
"RURAL (020)",5824,40,1761,2263,802,315,111,31,9,,492
"Sin Nivel (021)",2152,17,562,843,321,166,53,17,7,,166
"Educación Inicial (022)",11,,5,2,1,,,,,,3
"Primaria (023)",2819,20,921,1108,381,119,46,13,2,,209
"Secundaria (024)",783,3,270,291,86,23,8,1,,,101
"Sup. no Univ. Incompleta (025)",12,,1,3,1,,3,,,,4
"Sup. no Univ. Completa (026)",25,,,8,8,3,,,,,6
"Sup. Univ. Incompleta (027)",4,,,2,1,,,,,,1
"Sup. Univ. Completa (028)",18,,2,6,3,4,1,,,,2
