"CUADRO Nº 5: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia POMABAMBA (000)",19488,8654,2086,238,8526
"Conviviente (001)",5645,2374,491,57,2725
"Separado(a) (002)",563,233,37,3,290
"Casado(a) (003)",5064,1991,870,104,2113
"Viudo(a) (004)",1120,391,46,8,675
"Divorciado(a) (005)",35,18,6,,11
"Soltero(a) (006)",7061,3647,636,66,2712
"Hombres (008)",9254,3849,1030,139,4248
"Conviviente (009)",2749,1008,257,36,1449
"Separado(a) (010)",93,19,17,,57
"Casado(a) (011)",2508,911,441,65,1102
"Viudo(a) (012)",202,65,11,2,124
"Divorciado(a) (013)",9,3,3,,3
"Soltero(a) (014)",3693,1843,301,36,1513
"Mujeres (016)",10234,4805,1056,99,4278
"Conviviente (017)",2896,1366,234,21,1276
"Separado(a) (018)",470,214,20,3,233
"Casado(a) (019)",2556,1080,429,39,1011
"Viudo(a) (020)",918,326,35,6,551
"Divorciado(a) (021)",26,15,3,,8
"Soltero(a) (022)",3368,1804,335,30,1199
,,,,,
"URBANA (024)",4606,1023,1520,143,1931
"Conviviente (025)",1187,280,347,27,535
"Separado(a) (026)",178,53,33,2,90
"Casado(a) (027)",1343,212,651,71,418
"Viudo(a) (028)",207,44,37,4,122
"Divorciado(a) (029)",5,,3,,2
"Soltero(a) (030)",1686,434,449,39,764
"Hombres (032)",2222,445,748,93,944
"Conviviente (033)",574,109,176,19,271
"Separado(a) (034)",41,5,14,,22
"Casado(a) (035)",679,101,330,47,208
"Viudo(a) (036)",40,6,9,1,24
"Divorciado(a) (037)",2,,1,,1
"Soltero(a) (038)",886,224,218,26,418
"Mujeres (040)",2384,578,772,50,987
"Conviviente (041)",613,171,171,8,264
"Separado(a) (042)",137,48,19,2,68
"Casado(a) (043)",664,111,321,24,210
"Viudo(a) (044)",167,38,28,3,98
"Divorciado(a) (045)",3,,2,,1
"Soltero(a) (046)",800,210,231,13,346
,,,,,
"RURAL (048)",14882,7631,566,95,6595
"Conviviente (049)",4458,2094,144,30,2190
"Separado(a) (050)",385,180,4,1,200
"Casado(a) (051)",3721,1779,219,33,1695
"Viudo(a) (052)",913,347,9,4,553
"Divorciado(a) (053)",30,18,3,,9
"Soltero(a) (054)",5375,3213,187,27,1948
"Hombres (056)",7032,3404,282,46,3304
"Conviviente (057)",2175,899,81,17,1178
"Separado(a) (058)",52,14,3,,35
"Casado(a) (059)",1829,810,111,18,894
"Viudo(a) (060)",162,59,2,1,100
"Divorciado(a) (061)",7,3,2,,2
"Soltero(a) (062)",2807,1619,83,10,1095
"Mujeres (064)",7850,4227,284,49,3291
"Conviviente (065)",2283,1195,63,13,1012
"Separado(a) (066)",333,166,1,1,165
"Casado(a) (067)",1892,969,108,15,801
"Viudo(a) (068)",751,288,7,3,453
"Divorciado(a) (069)",23,15,1,,7
"Soltero(a) (070)",2568,1594,104,17,853
