"CUADRO Nº 5: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia SULLANA (000)",218294,23361,31127,13525,150912
"Conviviente (001)",48558,4744,4336,1843,37699
"Separado(a) (002)",7973,597,772,327,6289
"Casado(a) (003)",72431,5626,15591,5585,46037
"Viudo(a) (004)",7568,431,1804,555,4788
"Divorciado(a) (005)",586,22,138,58,372
"Soltero(a) (006)",81178,11941,8486,5157,55727
"Hombres (008)",107325,9562,14873,7985,75305
"Conviviente (009)",23194,1324,2135,1139,18637
"Separado(a) (010)",2163,76,249,147,1697
"Casado(a) (011)",35465,2039,7801,3276,22629
"Viudo(a) (012)",2006,118,550,168,1172
"Divorciado(a) (013)",261,6,52,29,175
"Soltero(a) (014)",44236,5999,4086,3226,30995
"Mujeres (016)",110969,13799,16254,5540,75607
"Conviviente (017)",25364,3420,2201,704,19062
"Separado(a) (018)",5810,521,523,180,4592
"Casado(a) (019)",36966,3587,7790,2309,23408
"Viudo(a) (020)",5562,313,1254,387,3616
"Divorciado(a) (021)",325,16,86,29,197
"Soltero(a) (022)",36942,5942,4400,1931,24732
,,,,,
"URBANA (024)",196568,20101,29763,12918,134394
"Conviviente (025)",42823,4023,4036,1777,33047
"Separado(a) (026)",7503,547,736,320,5912
"Casado(a) (027)",65909,4889,14993,5404,41014
"Viudo(a) (028)",6877,402,1732,530,4223
"Divorciado(a) (029)",553,21,137,58,341
"Soltero(a) (030)",72903,10219,8129,4829,49857
"Hombres (032)",95853,8074,14125,7539,66495
"Conviviente (033)",20367,1066,1982,1099,16257
"Separado(a) (034)",2001,68,232,145,1562
"Casado(a) (035)",32189,1741,7465,3157,20091
"Viudo(a) (036)",1757,109,512,158,980
"Divorciado(a) (037)",246,6,52,29,160
"Soltero(a) (038)",39293,5084,3882,2951,27445
"Mujeres (040)",100715,12027,15638,5379,67899
"Conviviente (041)",22456,2957,2054,678,16790
"Separado(a) (042)",5502,479,504,175,4350
"Casado(a) (043)",33720,3148,7528,2247,20923
"Viudo(a) (044)",5120,293,1220,372,3243
"Divorciado(a) (045)",307,15,85,29,181
"Soltero(a) (046)",33610,5135,4247,1878,22412
,,,,,
"RURAL (048)",21726,3260,1364,607,16518
"Conviviente (049)",5735,721,300,66,4652
"Separado(a) (050)",470,50,36,7,377
"Casado(a) (051)",6522,737,598,181,5023
"Viudo(a) (052)",691,29,72,25,565
"Divorciado(a) (053)",33,1,1,,31
"Soltero(a) (054)",8275,1722,357,328,5870
"Hombres (056)",11472,1488,748,446,8810
"Conviviente (057)",2827,258,153,40,2380
"Separado(a) (058)",162,8,17,2,135
"Casado(a) (059)",3276,298,336,119,2538
"Viudo(a) (060)",249,9,38,10,192
"Divorciado(a) (061)",15,,,,15
"Soltero(a) (062)",4943,915,204,275,3550
"Mujeres (064)",10254,1772,616,161,7708
"Conviviente (065)",2908,463,147,26,2272
"Separado(a) (066)",308,42,19,5,242
"Casado(a) (067)",3246,439,262,62,2485
"Viudo(a) (068)",442,20,34,15,373
"Divorciado(a) (069)",18,1,1,,16
"Soltero(a) (070)",3332,807,153,53,2320
