"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia MOHO (000)",11279,10431,450,112,286
"Sin nivel (001)",1804,1778,24,,2
"Educación inicial (002)",21,19,2,,
"Primaria (003)",5142,4965,149,6,22
"Secundaria (004)",3556,3285,151,25,95
"Superior no univ. incompleta (005)",157,111,21,4,21
"Superior no univ. completa (006)",247,111,41,27,68
"Superior univ. incompleta (007)",105,62,14,6,23
"Superior univ. completa (008)",247,100,48,44,55
"De 06 a 14 años (010)",275,238,36,1,
"Sin nivel (011)",4,4,,,
"Educación inicial (012)",6,4,2,,
"Primaria (013)",185,163,22,,
"Secundaria (014)",80,67,12,1,
"De 15 a 29 años (020)",2461,2244,127,13,77
"Sin nivel (021)",31,30,1,,
"Educación inicial (022)",6,6,,,
"Primaria (023)",603,580,22,1,
"Secundaria (024)",1638,1520,76,7,35
"Superior no univ. incompleta (025)",55,36,8,2,9
"Superior no univ. completa (026)",57,28,8,1,20
"Superior univ. incompleta (027)",35,25,6,,4
"Superior univ. completa (028)",36,19,6,2,9
"De 30 a 44 años (030)",3066,2752,125,49,140
"Sin nivel (031)",171,166,5,,
"Educación inicial (032)",9,9,,,
"Primaria (033)",1304,1269,31,1,3
"Secundaria (034)",1218,1130,36,11,41
"Superior no univ. incompleta (035)",75,58,9,1,7
"Superior no univ. completa (036)",126,53,19,12,42
"Superior univ. incompleta (037)",43,23,4,3,13
"Superior univ. completa (038)",120,44,21,21,34
"De 45 a 64 años (040)",3426,3183,138,48,57
"Sin nivel (041)",741,728,13,,
"Primaria (043)",1937,1864,57,4,12
"Secundaria (044)",553,506,26,5,16
"Superior no univ. incompleta (045)",24,14,4,1,5
"Superior no univ. completa (046)",57,23,14,14,6
"Superior univ. incompleta (047)",26,13,4,3,6
"Superior univ. completa (048)",88,35,20,21,12
"De 65 y más años (050)",2051,2014,24,1,12
"Sin nivel (051)",857,850,5,,2
"Primaria (053)",1113,1089,17,,7
"Secundaria (054)",67,62,1,1,3
"Superior no univ. incompleta (055)",3,3,,,
"Superior no univ. completa (056)",7,7,,,
"Superior univ. incompleta (057)",1,1,,,
"Superior univ. completa (058)",3,2,1,,
,,,,,
"URBANA (060)",2899,2447,184,73,195
"Sin nivel (061)",338,332,6,,
