"CUADRO Nº 10: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DEL SERVICIO DE AGUA POTABLE TODOS LOS DÍAS DE LA SEMANA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"DISPONE DE AGUA POTABLE TODOS LOS DÍAS DE LA SEMANA",
,,SI,NO
,,,
"Provincia LA UNION",,,
"Viviendas particulares (001)",2271,2175,96
"Ocupantes presentes (002)",7551,7261,290
"Casa independiente",,,
"Viviendas particulares (004)",2156,2062,94
"Ocupantes presentes (005)",7266,6978,288
"Departamento en edificio",,,
"Vivienda en quinta",,,
"Viviendas particulares (010)",43,43,
"Ocupantes presentes (011)",99,99,
"Vivienda en casa de vecindad",,,
"Viviendas particulares (013)",64,62,2
"Ocupantes presentes (014)",160,158,2
"Choza o cabaña",,,
"Viviendas particulares (016)",1,1,
"Ocupantes presentes (017)",2,2,
"Vivienda improvisada",,,
"Viviendas particulares (019)",2,2,
"Ocupantes presentes (020)",5,5,
"Local no dest.para hab. humana",,,
"Viviendas particulares (022)",5,5,
"Ocupantes presentes (023)",19,19,
"Otro tipo",,,
,,,
URBANA,,,
"Viviendas particulares (028)",1417,1335,82
"Ocupantes presentes (029)",4666,4414,252
"Casa independiente",,,
"Viviendas particulares (031)",1306,1226,80
"Ocupantes presentes (032)",4395,4145,250
"Departamento en edificio",,,
"Vivienda en quinta",,,
"Viviendas particulares (037)",43,43,
"Ocupantes presentes (038)",99,99,
"Vivienda en casa de vecindad",,,
"Viviendas particulares (040)",64,62,2
"Ocupantes presentes (041)",160,158,2
"Choza o cabaña",,,
"Vivienda improvisada",,,
"Viviendas particulares (046)",2,2,
"Ocupantes presentes (047)",5,5,
"Local no dest.para hab. humana",,,
"Viviendas particulares (049)",2,2,
"Ocupantes presentes (050)",7,7,
"Otro tipo",,,
,,,
RURAL,,,
"Viviendas particulares (055)",854,840,14
"Ocupantes presentes (056)",2885,2847,38
"Casa independiente",,,
"Viviendas particulares (058)",850,836,14
"Ocupantes presentes (059)",2871,2833,38
"Departamento en edificio",,,
"Vivienda en quinta",,,
"Vivienda en casa de vecindad",,,
"Choza o cabaña",,,
"Viviendas particulares (070)",1,1,
"Ocupantes presentes (071)",2,2,
"Vivienda improvisada",,,
"Local no dest.para hab. humana",,,
"Viviendas particulares (076)",3,3,
"Ocupantes presentes (077)",12,12,
"Otro tipo",,,
