"CUADRO Nº 18: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE SERVICIO HIGIÉNICO QUE TIENE LA VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y TIPO DE SERVICIO HIGIÉNICO QUE TIENE LA VIVIENDA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia SANTA CRUZ (000)",10846,3576,7270
"Red pública de desague dentro de la vivienda (001)",1226,1168,58
"Red pública de desague fuera de la vivienda (002)",272,254,18
"Pozo séptico (003)",50,19,31
"Pozo ciego o negro / letrina (004)",5022,1315,3707
"Río, acequia o canal (005)",166,116,50
"No tiene (006)",4110,704,3406
,,,
"URBANA (008)",2277,2075,202
"Red pública de desague dentro de la vivienda (009)",1164,1121,43
"Red pública de desague fuera de la vivienda (010)",241,233,8
"Pozo séptico (011)",11,10,1
"Pozo ciego o negro / letrina (012)",459,398,61
"Río, acequia o canal (013)",112,109,3
"No tiene (014)",290,204,86
,,,
"RURAL (016)",8569,1501,7068
"Red pública de desague dentro de la vivienda (017)",62,47,15
"Red pública de desague fuera de la vivienda (018)",31,21,10
"Pozo séptico (019)",39,9,30
"Pozo ciego o negro / letrina (020)",4563,917,3646
"Río, acequia o canal (021)",54,7,47
"No tiene (022)",3820,500,3320
