"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia MOHO (000)",11279,1804,21,5142,3556,157,247,105,247
"Agric., ganadería, caza y silvicultura (001)",9298,1715,18,4617,2762,74,50,25,37
"Pesca (002)",23,1,,3,18,,,,1
"Explotación de minas y canteras (003)",8,,,1,5,1,,,1
"Industrias manufactureras (004)",149,4,1,55,78,6,2,3,
"Suministro de electricidad, gas y agua (005)",3,,,,,1,,2,
"Construcción (006)",171,6,,59,90,5,6,2,3
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",541,23,,205,265,14,12,8,14
"Venta, mant.y rep. veh.autom.y motoc. (008)",17,2,,4,9,,1,,1
"Comercio al por mayor (009)",13,,,5,5,1,1,,1
"Comercio al por menor (010)",511,21,,196,251,13,10,8,12
"Hoteles y restaurantes (011)",122,9,,50,54,2,1,3,3
"Trans., almac. y comunicaciones (012)",104,1,,26,62,4,1,6,4
"Intermediación financiera (013)",1,,,,,1,,,
"Activid.inmobil., empres. y de alquiler (014)",19,,,,7,1,6,1,4
"Admin.pub. y defensa; p. segur.soc.afil (015)",204,1,,20,83,9,45,21,25
"Enseñanza (016)",304,,,,36,20,101,23,124
"Servicios sociales y de salud (017)",50,,,1,7,8,13,2,19
"Otras activ. serv.comun.soc y personales (018)",24,3,,2,9,3,3,2,2
"Hogares privados con servicio doméstico (019)",47,7,1,18,19,1,1,,
"Actividad economica no especificada (021)",211,34,1,85,61,7,6,7,10
"Hombres (022)",6234,522,8,2753,2376,127,172,86,190
"Agric., ganadería, caza y silvicultura (023)",5023,489,8,2505,1863,63,40,23,32
"Pesca (024)",21,,,3,17,,,,1
"Explotación de minas y canteras (025)",8,,,1,5,1,,,1
"Industrias manufactureras (026)",99,1,,33,56,6,,3,
"Suministro de electricidad, gas y agua (027)",3,,,,,1,,2,
"Construcción (028)",169,6,,57,90,5,6,2,3
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",235,8,,73,128,8,5,5,8
"Venta, mant.y rep. veh.autom.y motoc. (030)",15,1,,4,8,,1,,1
"Comercio al por mayor (031)",7,,,,5,1,,,1
"Comercio al por menor (032)",213,7,,69,115,7,4,5,6
"Hoteles y restaurantes (033)",27,2,,6,15,,,2,2
"Trans., almac. y comunicaciones (034)",97,1,,25,59,3,1,5,3
"Intermediación financiera (035)",1,,,,,1,,,
"Activid.inmobil., empres. y de alquiler (036)",13,,,,3,1,5,,4
"Admin.pub. y defensa; p. segur.soc.afil (037)",167,1,,19,67,8,36,17,19
"Enseñanza (038)",220,,,,22,13,68,18,99
"Servicios sociales y de salud (039)",31,,,1,6,7,5,2,10
"Otras activ. serv.comun.soc y personales (040)",19,2,,1,6,3,3,2,2
"Hogares privados con servicio doméstico (041)",7,,,2,4,1,,,
"Actividad economica no especificada (043)",94,12,,27,35,6,3,5,6
"Mujeres (044)",5045,1282,13,2389,1180,30,75,19,57
"Agric., ganadería, caza y silvicultura (045)",4275,1226,10,2112,899,11,10,2,5
"Pesca (046)",2,1,,,1,,,,
"Industrias manufactureras (048)",50,3,1,22,22,,2,,
