"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia SAN MIGUEL (000)",35163,33050,2113
"Hombres (001)",16958,16283,675
"Mujeres (002)",18205,16767,1438
"De 18 a 29 años (003)",9965,9312,653
"Hombres (004)",4938,4593,345
"Mujeres (005)",5027,4719,308
"De 30 a 44 años (006)",10841,10570,271
"Hombres (007)",5236,5151,85
"Mujeres (008)",5605,5419,186
"De 45 a 64 años (009)",8905,8502,403
"Hombres (010)",4136,4048,88
"Mujeres (011)",4769,4454,315
"De 65 y más años (012)",5452,4666,786
"Hombres (013)",2648,2491,157
"Mujeres (014)",2804,2175,629
,,,
"URBANA (015)",5945,5742,203
"Hombres (016)",2911,2832,79
"Mujeres (017)",3034,2910,124
"De 18 a 29 años (018)",1524,1446,78
"Hombres (019)",743,698,45
"Mujeres (020)",781,748,33
"De 30 a 44 años (021)",2052,2026,26
"Hombres (022)",977,968,9
"Mujeres (023)",1075,1058,17
"De 45 a 64 años (024)",1532,1510,22
"Hombres (025)",782,775,7
"Mujeres (026)",750,735,15
"De 65 y más años (027)",837,760,77
"Hombres (028)",409,391,18
"Mujeres (029)",428,369,59
,,,
"RURAL (030)",29218,27308,1910
"Hombres (031)",14047,13451,596
"Mujeres (032)",15171,13857,1314
"De 18 a 29 años (033)",8441,7866,575
"Hombres (034)",4195,3895,300
"Mujeres (035)",4246,3971,275
"De 30 a 44 años (036)",8789,8544,245
"Hombres (037)",4259,4183,76
"Mujeres (038)",4530,4361,169
"De 45 a 64 años (039)",7373,6992,381
"Hombres (040)",3354,3273,81
"Mujeres (041)",4019,3719,300
"De 65 y más años (042)",4615,3906,709
"Hombres (043)",2239,2100,139
"Mujeres (044)",2376,1806,570
