"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia CONDESUYOS (000)",8160,4041,130,132,3587,131,5,15,,119
"Hombres (001)",3056,2006,107,78,724,57,4,9,,71
"Mujeres (002)",5104,2035,23,54,2863,74,1,6,,48
"De 06 a 14 años (003)",3212,3071,,,90,24,,1,,26
"Hombres (004)",1603,1532,,,42,15,,1,,13
"Mujeres (005)",1609,1539,,,48,9,,,,13
"De 15 a 29 años (006)",1981,952,,13,973,,2,4,,37
"Hombres (007)",684,465,,7,188,,2,2,,20
"Mujeres (008)",1297,487,,6,785,,,2,,17
"De 30 a 44 años (009)",1046,15,4,25,979,,2,2,,19
"Hombres (010)",210,8,1,14,172,,1,1,,13
"Mujeres (011)",836,7,3,11,807,,1,1,,6
"De 45 a 64 años (012)",981,2,70,31,859,1,1,,,17
"Hombres (013)",275,1,61,22,177,,1,,,13
"Mujeres (014)",706,1,9,9,682,1,,,,4
"De 65 y más años (015)",940,1,56,63,686,106,,8,,20
"Hombres (016)",284,,45,35,145,42,,5,,12
"Mujeres (017)",656,1,11,28,541,64,,3,,8
,,,,,,,,,,
"AREA URBANA (018)",3577,2032,91,48,1302,37,2,5,,60
"Hombres (019)",1348,989,74,23,207,12,1,4,,38
"Mujeres (020)",2229,1043,17,25,1095,25,1,1,,22
"De 06 a 14 años (021)",1487,1450,,,26,3,,1,,7
"Hombres (022)",737,719,,,11,2,,1,,4
"Mujeres (023)",750,731,,,15,1,,,,3
"De 15 a 29 años (024)",945,574,,6,346,,,1,,18
"Hombres (025)",341,266,,2,62,,,1,,10
"Mujeres (026)",604,308,,4,284,,,,,8
"De 30 a 44 años (027)",422,6,3,11,390,,1,,,11
"Hombres (028)",61,3,1,6,43,,,,,8
"Mujeres (029)",361,3,2,5,347,,1,,,3
"De 45 a 64 años (030)",360,1,49,8,290,,1,,,11
"Hombres (031)",109,1,44,5,50,,1,,,8
"Mujeres (032)",251,,5,3,240,,,,,3
"De 65 y más años (033)",363,1,39,23,250,34,,3,,13
"Hombres (034)",100,,29,10,41,10,,2,,8
"Mujeres (035)",263,1,10,13,209,24,,1,,5
,,,,,,,,,,
"AREA RURAL (036)",4583,2009,39,84,2285,94,3,10,,59
"Hombres (037)",1708,1017,33,55,517,45,3,5,,33
"Mujeres (038)",2875,992,6,29,1768,49,,5,,26
"De 06 a 14 años (039)",1725,1621,,,64,21,,,,19
"Hombres (040)",866,813,,,31,13,,,,9
"Mujeres (041)",859,808,,,33,8,,,,10
"De 15 a 29 años (042)",1036,378,,7,627,,2,3,,19
"Hombres (043)",343,199,,5,126,,2,1,,10
"Mujeres (044)",693,179,,2,501,,,2,,9
"De 30 a 44 años (045)",624,9,1,14,589,,1,2,,8
"Hombres (046)",149,5,,8,129,,1,1,,5
"Mujeres (047)",475,4,1,6,460,,,1,,3
"De 45 a 64 años (048)",621,1,21,23,569,1,,,,6
"Hombres (049)",166,,17,17,127,,,,,5
"Mujeres (050)",455,1,4,6,442,1,,,,1
"De 65 y más años (051)",577,,17,40,436,72,,5,,7
"Hombres (052)",184,,16,25,104,32,,3,,4
"Mujeres (053)",393,,1,15,332,40,,2,,3
