"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia JORGE BASADRE (000)",9872,130,1998,2827,2548,1892,477
"Hombres (001)",5920,65,1018,1758,1568,1244,267
"Mujeres (002)",3952,65,980,1069,980,648,210
"Viviendas particulares (003)",9239,130,1994,2341,2453,1850,471
"Hombres (004)",5334,65,1014,1297,1484,1209,265
"Mujeres (005)",3905,65,980,1044,969,641,206
"Viviendas colectivas (006)",603,,2,478,83,35,5
"Hombres (007)",568,,2,457,78,29,2
"Mujeres (008)",35,,,21,5,6,3
"Otro tipo (009)",30,,2,8,12,7,1
"Hombres (010)",18,,2,4,6,6,
"Mujeres (011)",12,,,4,6,1,1
,,,,,,,
"URBANA (012)",6202,88,1186,1891,1649,1199,189
"Hombres (013)",3835,44,609,1220,1035,823,104
"Mujeres (014)",2367,44,577,671,614,376,85
"Viviendas particulares (015)",5631,88,1182,1434,1583,1161,183
"Hombres (016)",3311,44,605,788,980,792,102
"Mujeres (017)",2320,44,577,646,603,369,81
"Viviendas colectivas (018)",541,,2,449,54,31,5
"Hombres (019)",506,,2,428,49,25,2
"Mujeres (020)",35,,,21,5,6,3
"Otro tipo (021)",30,,2,8,12,7,1
"Hombres (022)",18,,2,4,6,6,
"Mujeres (023)",12,,,4,6,1,1
,,,,,,,
"RURAL (024)",3670,42,812,936,899,693,288
"Hombres (025)",2085,21,409,538,533,421,163
"Mujeres (026)",1585,21,403,398,366,272,125
"Viviendas particulares (027)",3608,42,812,907,870,689,288
"Hombres (028)",2023,21,409,509,504,417,163
"Mujeres (029)",1585,21,403,398,366,272,125
"Viviendas colectivas (030)",62,,,29,29,4,
"Hombres (031)",62,,,29,29,4,
