"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia FERREÑAFE (000)",35295,33424,10179,4310,4223,3522,4553,2895,3742,1871
"Católica (001)",29504,27862,8624,3693,3601,2995,3705,2332,2912,1642
"Cristiana/Evangélica (002)",4764,4586,1250,485,489,433,722,472,735,178
"Otra (003)",549,525,147,55,83,57,72,55,56,24
"Ninguna (004)",478,451,158,77,50,37,54,36,39,27
,,,,,,,,,,
"URBANA (006)",20455,19296,6115,2803,2751,2265,2616,1357,1389,1159
"Católica (007)",17617,16589,5288,2499,2406,1961,2159,1141,1135,1028
"Cristiana/Evangélica (008)",2281,2185,657,237,264,248,381,177,221,96
"Otra (009)",349,330,102,29,56,37,47,30,29,19
"Ninguna (010)",208,192,68,38,25,19,29,9,4,16
,,,,,,,,,,
"RURAL (012)",14840,14128,4064,1507,1472,1257,1937,1538,2353,712
"Católica (013)",11887,11273,3336,1194,1195,1034,1546,1191,1777,614
"Cristiana/Evangélica (014)",2483,2401,593,248,225,185,341,295,514,82
"Otra (015)",200,195,45,26,27,20,25,25,27,5
"Ninguna (016)",270,259,90,39,25,18,25,27,35,11
