"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia OCROS (000)",2566,2465,15,425,492,433,579,332,142,47,101,9072
"De 15 a 19 años (002)",43,37,,30,7,,,,,,6,44
"De 20 a 24 años (003)",208,176,,103,56,17,,,,,32,266
"De 25 a 29 años (004)",243,224,,80,86,38,20,,,,19,448
"De 30 a 34 años (005)",255,243,,49,79,64,41,10,,,12,636
"De 35 a 39 años (006)",236,228,1,26,55,53,71,20,2,,8,741
"De 40 a 44 años (007)",230,225,,25,35,48,65,27,23,2,5,910
"De 45 a 49 años (008)",231,228,1,18,36,40,65,45,18,5,3,985
"De 50 y más años (009)",1120,1104,13,94,138,173,317,230,99,40,16,5042
"PEA (010)",714,676,6,139,157,125,132,79,31,7,38,2240
"De 15 a 19 años (012)",10,9,,6,3,,,,,,1,12
"De 20 a 24 años (013)",59,47,,29,15,3,,,,,12,68
"De 25 a 29 años (014)",69,63,,25,24,10,4,,,,6,119
"De 30 a 34 años (015)",79,73,,24,21,19,8,1,,,6,163
"De 35 a 39 años (016)",86,82,1,15,25,17,19,5,,,4,227
"De 40 a 44 años (017)",98,94,,12,17,17,24,12,10,2,4,381
"De 45 a 49 años (018)",65,64,,6,17,12,13,13,3,,1,243
"De 50 y más años (019)",248,244,5,22,35,47,64,48,18,5,4,1027
"Ocupada (020)",706,670,6,136,157,124,131,78,31,7,36,2223
"De 15 a 19 años (022)",9,8,,5,3,,,,,,1,11
"De 20 a 24 años (023)",57,46,,28,15,3,,,,,11,67
"De 25 a 29 años (024)",69,63,,25,24,10,4,,,,6,119
"De 30 a 34 años (025)",78,72,,23,21,19,8,1,,,6,162
"De 35 a 39 años (026)",86,82,1,15,25,17,19,5,,,4,227
