"CUADRO Nº 11: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR TIPO DE ABASTECIMIENTO DE AGUA POTABLE, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, DISPONIBILIDAD DE AGUA TODOS LOS DÍAS DE LA SEMANA, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, DISPONIBILIDAD DE AGUA TODOS LOS DÍAS DE LA SEMANA, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"TIPO DE ABASTECIMIENTO DE AGUA POTABLE",,
,,"RED PÚBLICA DENTRO DE LA VIVIENDA (AGUA POTABLE)","RED PÚBLICA FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN (AGUA POTABLE)","PILÓN DE USO PÚBLICO (AGUA POTABLE)"
,,,,
"Provincia HUARAL",,,,
"Viviendas particulares (001)",27238,23017,2813,1408
"Ocupantes presentes (002)",113712,97844,10509,5359
"Casa independiente",,,,
"Viviendas particulares (004)",24309,20909,2120,1280
"Ocupantes presentes (005)",102993,89917,8211,4865
"Departamento en edificio",,,,
"Viviendas particulares (007)",759,634,125,
"Ocupantes presentes (008)",2676,2317,359,
"Vivienda en quinta",,,,
"Viviendas particulares (010)",793,579,214,
"Ocupantes presentes (011)",2826,2133,693,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (013)",713,465,219,29
"Ocupantes presentes (014)",2677,1811,758,108
"Choza o cabaña",,,,
"Viviendas particulares (016)",3,,,3
"Ocupantes presentes (017)",10,,,10
"Vivienda improvisada",,,,
"Viviendas particulares (019)",606,386,127,93
"Ocupantes presentes (020)",2386,1556,463,367
"Local no dest.para hab. humana",,,,
"Viviendas particulares (022)",54,44,8,2
"Ocupantes presentes (023)",139,110,25,4
"Otro tipo",,,,
"Viviendas particulares (025)",1,,,1
"Ocupantes presentes (026)",5,,,5
Si,,,,
"Viviendas particulares (028)",24145,20740,2382,1023
"Ocupantes presentes (029)",101142,88346,8863,3933
"Casa independiente",,,,
"Viviendas particulares (031)",21487,18826,1742,919
"Ocupantes presentes (032)",91464,81166,6757,3541
"Departamento en edificio",,,,
"Viviendas particulares (034)",708,585,123,
"Ocupantes presentes (035)",2483,2130,353,
"Vivienda en quinta",,,,
"Viviendas particulares (037)",743,544,199,
"Ocupantes presentes (038)",2648,2011,637,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (040)",623,397,199,27
"Ocupantes presentes (041)",2334,1554,674,106
"Choza o cabaña",,,,
"Viviendas particulares (043)",3,,,3
"Ocupantes presentes (044)",10,,,10
"Vivienda improvisada",,,,
"Viviendas particulares (046)",530,348,111,71
"Ocupantes presentes (047)",2067,1383,417,267
"Local no dest.para hab. humana",,,,
"Viviendas particulares (049)",50,40,8,2
"Ocupantes presentes (050)",131,102,25,4
"Otro tipo",,,,
"Viviendas particulares (052)",1,,,1
"Ocupantes presentes (053)",5,,,5
No,,,,
"Viviendas particulares (055)",3093,2277,431,385
"Ocupantes presentes (056)",12570,9498,1646,1426
"Casa independiente",,,,
"Viviendas particulares (058)",2822,2083,378,361
"Ocupantes presentes (059)",11529,8751,1454,1324
"Departamento en edificio",,,,
"Viviendas particulares (061)",51,49,2,
"Ocupantes presentes (062)",193,187,6,
"Vivienda en quinta",,,,
"Viviendas particulares (064)",50,35,15,
"Ocupantes presentes (065)",178,122,56,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (067)",90,68,20,2
"Ocupantes presentes (068)",343,257,84,2
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (073)",76,38,16,22
"Ocupantes presentes (074)",319,173,46,100
"Local no dest.para hab. humana",,,,
"Viviendas particulares (076)",4,4,,
"Ocupantes presentes (077)",8,8,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
,,,,
URBANA,,,,
"Viviendas particulares (109)",26443,22557,2725,1161
"Ocupantes presentes (110)",110809,96035,10180,4594
"Casa independiente",,,,
"Viviendas particulares (112)",23521,20450,2034,1037
"Ocupantes presentes (113)",100107,88111,7884,4112
"Departamento en edificio",,,,
"Viviendas particulares (115)",759,634,125,
"Ocupantes presentes (116)",2676,2317,359,
"Vivienda en quinta",,,,
"Viviendas particulares (118)",793,579,214,
"Ocupantes presentes (119)",2826,2133,693,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (121)",713,465,219,29
"Ocupantes presentes (122)",2677,1811,758,108
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (127)",606,386,127,93
"Ocupantes presentes (128)",2386,1556,463,367
"Local no dest.para hab. humana",,,,
"Viviendas particulares (130)",50,43,6,1
"Ocupantes presentes (131)",132,107,23,2
"Otro tipo",,,,
"Viviendas particulares (133)",1,,,1
"Ocupantes presentes (134)",5,,,5
Si,,,,
"Viviendas particulares (136)",23472,20336,2303,833
"Ocupantes presentes (137)",98723,86803,8571,3349
"Casa independiente",,,,
"Viviendas particulares (139)",20820,18422,1665,733
"Ocupantes presentes (140)",89059,79623,6467,2969
"Departamento en edificio",,,,
"Viviendas particulares (142)",708,585,123,
"Ocupantes presentes (143)",2483,2130,353,
"Vivienda en quinta",,,,
"Viviendas particulares (145)",743,544,199,
"Ocupantes presentes (146)",2648,2011,637,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (148)",623,397,199,27
"Ocupantes presentes (149)",2334,1554,674,106
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (154)",530,348,111,71
"Ocupantes presentes (155)",2067,1383,417,267
"Local no dest.para hab. humana",,,,
"Viviendas particulares (157)",47,40,6,1
"Ocupantes presentes (158)",127,102,23,2
"Otro tipo",,,,
"Viviendas particulares (160)",1,,,1
"Ocupantes presentes (161)",5,,,5
No,,,,
"Viviendas particulares (163)",2971,2221,422,328
"Ocupantes presentes (164)",12086,9232,1609,1245
"Casa independiente",,,,
"Viviendas particulares (166)",2701,2028,369,304
"Ocupantes presentes (167)",11048,8488,1417,1143
"Departamento en edificio",,,,
"Viviendas particulares (169)",51,49,2,
"Ocupantes presentes (170)",193,187,6,
"Vivienda en quinta",,,,
"Viviendas particulares (172)",50,35,15,
"Ocupantes presentes (173)",178,122,56,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (175)",90,68,20,2
"Ocupantes presentes (176)",343,257,84,2
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (181)",76,38,16,22
"Ocupantes presentes (182)",319,173,46,100
"Local no dest.para hab. humana",,,,
"Viviendas particulares (184)",3,3,,
"Ocupantes presentes (185)",5,5,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
,,,,
RURAL,,,,
"Viviendas particulares (217)",795,460,88,247
"Ocupantes presentes (218)",2903,1809,329,765
"Casa independiente",,,,
"Viviendas particulares (220)",788,459,86,243
"Ocupantes presentes (221)",2886,1806,327,753
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (232)",3,,,3
"Ocupantes presentes (233)",10,,,10
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (238)",4,1,2,1
"Ocupantes presentes (239)",7,3,2,2
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (244)",673,404,79,190
"Ocupantes presentes (245)",2419,1543,292,584
"Casa independiente",,,,
"Viviendas particulares (247)",667,404,77,186
"Ocupantes presentes (248)",2405,1543,290,572
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (259)",3,,,3
"Ocupantes presentes (260)",10,,,10
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (265)",3,,2,1
"Ocupantes presentes (266)",4,,2,2
"Otro tipo",,,,
No,,,,
"Viviendas particulares (271)",122,56,9,57
"Ocupantes presentes (272)",484,266,37,181
"Casa independiente",,,,
"Viviendas particulares (274)",121,55,9,57
"Ocupantes presentes (275)",481,263,37,181
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (292)",1,1,,
"Ocupantes presentes (293)",3,3,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
